ID,title,author,isbn,publisher,edition,pages,dimension
86,More Tales of Pirx the Pilot,Stanislaw Lem; Michael Kandel; Louis Iribarne,9780156621434,Houghton Mifflin Harcourt P,Unknown,232 pages,6.28 x 8.62 x 0.62 inches
87,The Testament,John Grisham,9780345531964,Dell Publishing Company,Unknown,533 pages,4.28 x 7.47 x 1.37 inches
88,Endangering Science Fiction Film (AFI Film Readers) b,angering Science Fiction Film (AFI Film Readers) by,9781138792630,Routledge,Unknown,,
89,Dead Heat (Lucy Kincaid Novels),Allison Brennan,9781250038029,Minotaur Books,Unknown,,
90,Bluebeard's Egg,Margaret Atwood,9780385491044,Anchor Books,Unknown,256 pages,5.23 x 7.95 x 0.75 inches
91,The Belly of the Wolf (Lens of the World Trilogy) (Volume 3),R. A. MacAvoy,9781497642218,Open Road Media Sci-Fi & Fantasy,Unknown,,
92,Biting Cold,Chloe Neill,9780451473219,Ace,Unknown,,
93,Crazy Hair,Neil Gaiman,9780060579104,HarperCollins,Unknown,,
94,Dragon Born,Ela Lourenco,9780692380482,Sirens Call Publications,Unknown,,
95,Complete Pet Student's Book Without Answers [With CDROM],Emma Heyderman; Peter May,9780521746489,Cambridge University Press,Unknown,176 pages,8.60 x 10.70 x 0.50 inches
96,Peter Pan,James Matthew Barrie; Alison Lurie,9780451520883,Signet Classics,Unknown,208 pages,4.20 x 6.85 x 0.62 inches
97,The Art & Science of Java,Eric S. Roberts,9780321486127,Addison Wesley Publishing Company,Unknown,587 pages,7.37 x 9.14 x 0.87 inches
98,Sweetbriar,Jude Deveraux,9780671743826,Pocket Books,Unknown,352 pages,4.13 x 6.75 x 0.89 inches
99,Eastern Europe in Children's Literature,Frances F. Povsic,9780313237775,Greenwood Press,Unknown,230 pages,6.14 x 9.78 x 0.86 inches
100,A Burning House,Keith R. A. DeCandido; Gene Roddenberry; Rick Berman,9781416556473,Pocket Books/Star Trek,Unknown,403 pages,4.46 x 6.80 x 1.10 inches
101,Black Magic Bayou (Genie McQueen) (Volume 2),Sierra Dean,9781539011750,CreateSpace Independent Publishing Platform,Unknown,,
102,The Big Book of Science Fiction,Susan Hart,9781530512331,CreateSpace Independent Publishing Platform,Unknown,,
103,A Pocket Full of Chaos,Rev Timothy Edward Bowen,9781500579098,CreateSpace Independent Publishing Platform,Unknown,,
104,The Fall,Dayton Ward,9781476718996,Simon & Schuster,Unknown,384 pages,4.37 x 7.01 x 0.00 inches
105,The New Amplified Pilgrim's Progress,John Bunyan,9780768441475,Revival Press,Unknown,,
106,Allied Artists Horror Science Fiction and Fantasy Films,Michael R. Pitts,9780786460465,McFarland & Company,Unknown,246 pages,7.12 x 9.93 x 0.58 inches
107,Silver Borne,Patricia Briggs,9780441019960,Ace Books,Unknown,292 pages,4.23 x 6.79 x 0.85 inches
108,Grammar Grade 4,Carson-Dellosa Publishing,9781936023219,Carson Dellosa Publishing Company,Unknown,80 pages,6.00 x 8.80 x 0.30 inches
109,Kickboxing,Justyn Billingham,9781847970374,Crowood Press (UK),Unknown,192 pages,
110,The Slipper Club,Tracy Crudup,9780595390618,iUniverse,Unknown,112 pages,6.00 x 9.00 x 0.27 inches
111,NYPD Red 3,James; Karp; Marshall Patterson,9781455584932,Vision,Unknown,,
112,Shatnerquest,Jeff Burk,9781621050872,Eraserhead Press,Unknown,188 pages,5.59 x 8.50 x 0.39 inches
113,Russia in Space,Brian Harvey,9781852332037,Springer,Unknown,349 pages,6.59 x 9.47 x 0.78 inches
114,The Adventures of Huckleberry Finn,Mark Twain,9780141439648,Penguin Books Limited (UK),Unknown,,
115,Whispers at Midnight,Karen Robards,9781451631890,Pocket Books,Unknown,480 pages,5.00 x 7.99 x 1.07 inches
116,Conversations with God,Neale Donald Walsch,9780399142789,Putnam Publishing Group,Unknown,,5.95 x 8.46 x 0.92 inches
117,Robot Wake,Ed Green,9781944156114,under license from Andrews UK,Unknown,,
118,DK Eyewitness Books,DK,9781465462480,DK Children,Unknown,,
119,Equine Journal White Horse Galloping Across Field,Distinctive Journals,9781542911672,CreateSpace Independent Publishing Platform,Unknown,,
120,Bad Blood,George D. Schultz,9781426958298,Trafford Publishing,Unknown,540 pages,5.98 x 9.02 x 1.20 inches
121,From Beyond,H. P. Lovecraft,9781505534115,CreateSpace Independent Publishing Platform,Unknown,,
122,Cover Girl & Other Stories of Fly-Fishermen in Maine,J. H. Hall,9780595372881,iUniverse,Unknown,168 pages,6.08 x 8.30 x 0.42 inches
123,The Emperor and the Kite,Jane Yolen; Ed Young,9780698116443,Putnam Publishing Group,Unknown,32 pages,8.98 x 8.74 x 0.09 inches
124,Swann's Way,Marcel Proust; C. K. Scott Moncrieff; Elizabeth Dalton,9781593082956,Barnes & Noble,Unknown,466 pages,5.36 x 7.98 x 1.40 inches
