ID,title,author,isbn,publisher,edition,pages,dimension
87,A Pennsylvania Trilogy,John M. Eddinger,9780595456680,iUniverse Incorporated,,496,5.98(w) x 9.02(h) x 1.11(d)
88,The Fallen (Derek Stillwater Series #3),Mark Terry,9781608090280,Oceanview Publishing,,288,5.70(w) x 8.80(h) x 0.90(d)
89,More Spook Stories,Edward Frederic Benson;  E F Benson,9781502484390,CreateSpace Publishing,,142,6.00(w) x 9.00(h) x 0.30(d)
90,A Big Book of Strange Weird and Wonderful: The Best Horror Fantasy and Science Fiction from the Pages of 'an Unforgettable e-Fiction Quarterly',Russell;  Teresa Tunaley,9781479188222,CreateSpace Publishing,,422,5.50(w) x 8.50(h) x 0.86(d)
91,Sense and Sensibility (Barnes & Noble Classics Series),Jane Austen,9781593081256,Barnes & Noble,,352,5.30(w) x 8.15(h) x 1.00(d)
92,History of Computer Programs,Andreas Sofroniou,9780244642464,Lulu.com,,286,6.00(w) x 1.25(h) x 9.00(d)
93,Between The Bullets,Michael Bliss,9780810841109,Rowman & Littlefield Publishers Inc.,,144,5.50(w) x 8.66(h) x 0.61(d)
94,Hugo Gernsback and the Century of Science Fiction,Gary Westfahl,9780786430796,McFarland & Company Incorporated Publishers,,283,6.00(w) x 9.00(h) x 0.56(d)
95,Death at First Sight,Angela Roquet,9781537432946,CreateSpace Publishing,,188,5.00(w) x 7.99(h) x 0.43(d)
96,The First Immortal: Angel Blood,Stone Palatin,9781943492183,Elm Grove Publishing,,218,6.00(w) x 9.00(h) x 0.50(d)
97,A Dirty Game,David Lowe,9781609118532,Strategic Book Group LLC,,384,6.00(w) x 9.00(h) x 0.85(d)
98,Ultimate Comics Spider-Man Volume 2,Brian Michael Bendis;  Chris Samnee;  Sara Pichelli;  David Marquez,9780785157151,Marvel,,112,6.75(w) x 10.25(h) x 0.25(d)
99,El Arbol de las moras,Jude Deveraux,9788490703328,Ediciones B,Spanish-language Edition,446,5.20(w) x 7.60(h) x 1.30(d)
100,Strain The Volume 5 The Night Eternal,Guillermo Del Torro;  Mike Huddleston,9781616556389,Dark Horse Comics,,152,6.40(w) x 10.10(h) x 0.40(d)
101,Geothermal Engineering: Fundamentals and Applications,Arnold Watson,9781493946792,Springer New York,Softcover reprint of the original 1st ed. 2013,336,6.10(w) x 9.25(h) x (d)
102,Norse Mythology,Neil Gaiman,9780393356182,Norton W. W. & Company Inc.,,304,5.60(w) x 8.10(h) x 1.00(d)
103,After the Fire: A Memoir in Poetry and Prose,J. A. Jance,9780062293978,HarperCollins Publishers,,128,5.87(w) x 7.12(h) x 0.57(d)
104,The Dark Winter (Detective Sergeant McAvoy Series #1),David Mark,9780142196977,Penguin Publishing Group,,320,7.80(w) x 5.30(h) x 0.80(d)
105,Paradise Screwed: Selected Columns of Carl Hiaasen,Carl Hiaasen,9780813034287,University Press of Florida,Reissue,424,6.00(w) x 9.00(h) x 1.10(d)
106,Risky Game,Tracy Solheim,9780425266656,Penguin Publishing Group,,320,6.60(w) x 4.20(h) x 1.20(d)
107,Forever... (Forever Trilogy Series #1),Jude Deveraux,9781476726083,Gallery Books,,384,4.90(w) x 7.90(h) x 1.10(d)
108,Historical Introduction to the Philosophy of Science / Edition 4,John Losee,2900198700554,Oxford University Press USA,REV,328,6.00(w) x 1.25(h) x 9.00(d)
109,The K Handshape,Maureen Jennings,9781550027631,Dundurn Press,,360,6.00(w) x 9.00(h) x 0.80(d)
110,1964 Freedom Summer,Rebecca Felix,9781624032561,ABDO Publishing Company,,112,6.20(w) x 9.00(h) x 0.50(d)
111,Zombie Apocalypse: Choose Your Fate!,Colin Webster,9781477127032,Xlibris Corporation,,390,6.00(w) x 9.00(h) x 0.87(d)
112,New Essays on Wise Blood,Michael Kreyling,9780521445740,Cambridge University Press,,140,5.43(w) x 8.50(h) x 0.31(d)
113,L. A. Dead (Stone Barrington Series #6),Stuart Woods,9780451204110,Penguin Publishing Group,,464,4.25(w) x 7.50(h) x 1.02(d)
114,Editing the Soul: Science and Fiction in the Genome Age,Everett Hamner,9780271079332,Penn State University Press,,280,5.90(w) x 8.80(h) x 0.60(d)
115,Simply Science,Emily James,9781515771296,Capstone Press,,192,
116,The Key (Magnificent 12 Series #3),Michael Grant,9780061833717,HarperCollins Publishers,Reprint,277,7.40(w) x 5.10(h) x 0.50(d)
117,Going Past the Town Prison,J. E. D. Cline,9781450568470,CreateSpace Publishing,,194,5.50(w) x 8.50(h) x 0.41(d)
118,The Wizard's Map (Tartan Magic Series #1),Jane Yolen,9780152163655,Houghton Mifflin Harcourt,First Edition,156,5.00(w) x 7.50(h) x 0.36(d)
119,D.Gray-man (3-in-1 Edition) Volume 2: Includes vols. 4 5 & 6,Katsura Hoshino,9781421555683,VIZ Media LLC,Original,576,5.20(w) x 7.52(h) x 1.24(d)
120,Hard Times (Barnes & Noble Classics Series),Charles Dickens,9781593081560,Barnes & Noble,,352,7.92(w) x 5.30(h) x 0.92(d)
121,Deathless,Graveyard Greg,9781624751073,Rabbit Valley,,106,5.00(w) x 8.00(h) x 0.22(d)
122,Silver Paradox,Dawn Wagner,9781499143362,CreateSpace Publishing,,156,6.00(w) x 9.00(h) x 0.33(d)
123,The Frog King,Adam Davies,9781573229388,Penguin Publishing Group,1ST RIVERH,336,5.25(w) x 8.10(h) x 0.95(d)
124,The End of the Story,Lydia Davis,9780312423711,Picador,First Edition,240,5.64(w) x 8.27(h) x 0.66(d)
125,The Call Of Blood,John Nkemngong Nkengasong,9789956616114,African Books Collective Limited,,68,5.00(w) x 8.00(h) x 0.16(d)
126,Classic Westerns: Zane Grey,Zane Grey,9781626869752,Thunder Bay Press,,512,5.00(w) x 7.60(h) x 1.50(d)
127,Finding Fraser,K. C. Dyer,9780399584367,Penguin Publishing Group,Reissue,368,5.50(w) x 8.20(h) x 1.10(d)
128,The Dore Gallery: of Bible Illustrations,Gustave Dore,9781518772580,CreateSpace Publishing,,98,8.50(w) x 11.00(h) x 0.20(d)
129,Murder Most Howl (Paws and Claws Mystery Series #3),Krista Davis,9780425262573,Penguin Publishing Group,,304,9.80(w) x 11.50(h) x 0.50(d)
130,Too Many Miracles,Ernest Lester Schusky,9780865345119,Sunstone Press,,238,6.00(w) x 9.00(h) x 0.54(d)
131,Forensic Science,DK Publishing,9780756633837,DK,,72,8.81(w) x 11.31(h) x 0.50(d)
