ID,title,author,isbn,publisher,edition,pages,dimension
2211,Free-Format RPG IV: The Express Guide to Learning Free Format,Jim Martin,9781583474136,Mc Press,Third Edition Third edition,224,7.00(w) x 8.90(h) x 0.60(d)
2212,The New Rules of Marketing and PR: How to Use Social Media Online Video Mobile Applications Blogs News Releases and Viral Marketing to Reach Buyers Directly / Edition 5,David Meerman Scott,9781119070481,Wiley,Reprint,480,6.00(w) x 9.00(h) x 1.30(d)
2213,The Official (ISC)2 Guide to the CCSP CBK / Edition 2,Adam Gordon,9781119276722,Wiley,,544,7.40(w) x 9.20(h) x 1.20(d)
2214,Visualize This: The Flowing Data Guide to Design Visualization and Statistics / Edition 1,Nathan Yau,9780470944882,Wiley,,384,7.30(w) x 9.10(h) x 0.90(d)
2215,The Complete Photo Manual (Revised Edition): Skills + Tips for Making Great Pictures,The Editors of Popular Photography,9781681882703,Weldon Owen,,272,7.40(w) x 9.50(h) x 0.90(d)
2216,Access 2016 Bible / Edition 1,Michael Alexander;  Richard Kusleika,9781119086543,Wiley,,1152,8.20(w) x 9.20(h) x 2.30(d)
2217,Blender 3d 2.49 Architecture Buildings And Scenery,Allan Brito,9781849510486,Packt Publishing,,376,7.50(w) x 9.25(h) x 0.78(d)
2218,Many Rational Points: Coding Theory and Algebraic Geometry / Edition 1,N.E. Hurt,9789048164967,Springer Netherlands,2003,346,6.10(w) x 9.25(h) x 0.03(d)
2219,CompTIA Security+ Study Guide: SY0-401 / Edition 6,Emmett Dulaney;  Chuck Easttom,9781118875070,Wiley,Study Guid,552,7.30(w) x 9.20(h) x 1.20(d)
2220,"The Newbies Guide to the Kindle Fire Tablet: Covering Fire 7"" Fire HD 6 Fire HD 8 Fire HD 10 (Fire OS 5 Bellini Edition)",Minute Help Guides,9781517621339,CreateSpace Publishing,,86,8.50(w) x 11.00(h) x 0.18(d)
2221,Access 2013: The Missing Manual,Matthew MacDonald,9781449357412,O'Reilly Media Incorporated,,866,6.90(w) x 9.20(h) x 1.90(d)
2222,Illustrated Microsoft Office 365 & Office 2016 for Medical Professionals Loose-leaf Version / Edition 1,David W. Beskeen;  Jennifer Duffy;  Lisa Friedrichsen;  Elizabeth Eisner Reding,9781305878570,Cengage Learning,Illustrate,,8.40(w) x 10.70(h) x 0.70(d)
2223,UNIX and Linux System Administration Handbook / Edition 4,Evi Nemeth;  Garth Snyder;  Trent R. Hein;  Ben Whaley,9780131480056,Prentice Hall,Older Edition,1279,7.12(w) x 8.78(h) x 1.66(d)
2224,Ipad Pro 2017: Getting to Know to the Basics,Gack Davison,9781544198859,CreateSpace Publishing,,30,5.00(w) x 8.00(h) x 0.06(d)
2225,High Performance Spark: Best Practices for Scaling and Optimizing Apache Spark,Holden Karau;  Rachel Warren,9781491943205,O'Reilly Media Incorporated,,358,7.00(w) x 9.10(h) x 0.80(d)
2226,Word Connect Game Answers Levels Cheats Tips Walkthrough Download Guide Unofficial,HSE Guides,9781985726956,HIDDENSTUFF ENTERTAINMENT LLC.,,34,8.27(w) x 11.69(h) x 0.07(d)
2227,Sams Teach Yourself Google Analytics in 10 Minutes,Michael Miller,9780672333200,Sams,,218,5.30(w) x 8.10(h) x 0.60(d)
2228,Beginning LEGO MINDSTORMS EV3,Mark Rollins,9781430264361,Apress,1st ed.,280,8.40(w) x 11.00(h) x 0.70(d)
2229,Rhett & Link's Book of Mythicality: A Field Guide to Curiosity Creativity and Tomfoolery,Rhett McLaughlin;  Link Neal,9780451496294,Crown/Archetype,,272,7.50(w) x 9.20(h) x 0.90(d)
2230,MyStatLab with eText for Business Statistics -- Standalone Access Card / Edition 1,Pearson Education,9780321921468,Pearson,Student,,8.10(w) x 10.50(h) x 0.60(d)
2231,Databases DeMYSTiFieD / Edition 2,Andy Oppel,9780071747998,McGraw-Hill Professional Publishing,,448,7.30(w) x 9.00(h) x 0.90(d)
2232,Software Testing Foundations: A Study Guide for the Certified Tester Exam / Edition 4,Andreas Spillner;  Tilo Linz;  Hans Schaefer,9781937538422,Rocky Nook,Fourth Edition,304,7.20(w) x 9.10(h) x 0.80(d)
2233,Steve Jobs (French Edition),Walter Isaacson,9782709638326,Editions J.C. Lattes,French-language Edition,667,5.90(w) x 9.00(h) x 1.80(d)
2234,E-commerce A Beginners Guide to e-commerce,Daniel D'apollonio,9781542687423,CreateSpace Publishing,,42,6.00(w) x 9.00(h) x 0.09(d)
2235,sed and awk,Dale Dougherty;  Arnold Robbins,9781565922259,O'Reilly Media Incorporated,Second Edition,434,7.00(w) x 9.19(h) x 1.00(d)
2236,i-Minds: How Cell Phones Computers Gaming and Social Media are Changing our Brains our Behavior and the Evolution of our Species,Mari Swingle,9780865718258,New Society Publishers,,240,5.90(w) x 8.90(h) x 0.70(d)
2237,Cloud Computing For Dummies,Judith Hurwitz;  Robin Bloor;  Marcia Kaufman;  Fern Halper,9780470484708,Wiley,,336,7.30(w) x 9.10(h) x 0.90(d)
2238,Beginning ASP.NET for Visual Studio 2015,William Penberthy,9781119077428,Wiley,,792,7.30(w) x 9.20(h) x 1.50(d)
2239,Minecraft Redstone For Dummies,Jacob Cordeiro,9781118968307,Wiley,Portable Edition,224,5.50(w) x 8.40(h) x 0.60(d)
2240,CompTIA Security+ All-in-One Exam Guide Fourth Edition (Exam SY0-401) / Edition 4,Wm. Arthur Conklin;  Greg White;  Dwayne Williams;  Chuck Cothren,9780071837354,McGraw-Hill Education,,704,
2241,How to Start a Home-based Online Retail Business,Nicole Augenti,9780762763658,Rowman & Littlefield Publishers Inc.,Second Edition,240,7.40(w) x 9.20(h) x 0.70(d)
2242,The Rationality Quotient: Toward a Test of Rational Thinking,Keith E. Stanovich;  Richard F. West;  Maggie E. Toplak,9780262535274,MIT Press,Reprint,480,6.00(w) x 9.00(h) x 1.00(d)
2243,Secrets and Lies: Digital Security in a Networked World / Edition 1,Bruce Schneier,9780471453802,Wiley,,448,6.18(w) x 8.64(h) x 0.99(d)
2244,CompTIA Security+ Certification Bundle Second Edition (Exam SY0-401) / Edition 2,Glen E. Clarke;  Daniel Lachance,9780071834261,McGraw-Hill Professional Publishing,Net,1322,7.40(w) x 9.10(h) x 2.60(d)
2245,Ti-89 Graphing Calculator for Dummies,C. C. Edwards,9780764589126,Wiley,,360,7.80(w) x 9.00(h) x 1.00(d)
2246,T-SQL Querying,Itzik Ben-Gan;  Adam Machanic;  Dejan Sarka;  Kevin Farlee,9780735685048,Microsoft Press,,864,7.30(w) x 8.80(h) x 1.70(d)
2247,3D Printing Projects: Toys Bots Tools and Vehicles To Print Yourself,Brook Drumm;  James Floyd Kelly;  Rick Winscot;  John Edgar Park,9781457187247,Maker Media Inc,,288,7.40(w) x 9.10(h) x 0.60(d)
2248,Marketing Automation For Dummies,Mathew Sweezey,9781118772225,Wiley,,312,7.30(w) x 9.10(h) x 0.70(d)
2249,Official Guide to Ancestry.com,George G. Morgan;  Susan Sherwood Parr,9781593313197,Turner Publishing Company,2nd ed.,300,6.80(w) x 8.90(h) x 0.80(d)
2250,Who's #1?: The Science of Rating and Ranking,Amy N. Langville;  Carl D. Meyer,9780691162317,Princeton University Press,,272,7.00(w) x 9.90(h) x 0.70(d)
2251,Web Design in Easy Steps,Sean McManus,9781840786255,In Easy Steps Limited,Sixth Edition,240,7.20(w) x 8.80(h) x 0.60(d)
2252,Elements of ML Programming ML97 Edition / Edition 2,Jeffrey D. Ullman,9780137903870,Pearson,REV,383,7.00(w) x 9.00(h) x 1.00(d)
2253,Vlog Like a Boss: How to Kill It Online with Video Blogging,Amy Schmittauer,9781946114167,Vlog Boss Studios LLC,,218,5.40(w) x 8.40(h) x 0.60(d)
2254,CCSP Official (ISC)2 Practice Tests,Ben Malisow,9781119449225,Wiley,,384,7.30(w) x 9.10(h) x 0.90(d)
2255,Crush It!: Why NOW Is the Time to Cash In on Your Passion,Gary Vaynerchuk,9780061914171,HarperCollins Publishers,,142,5.60(w) x 8.30(h) x 0.70(d)
2256,C Pocket Reference,Peter Prinz;  Ulla Kirch-Prinz;  Ulla Kirch-Prinz,9780596004361,O'Reilly Media Incorporated,Pocket Reference,144,4.25(w) x 7.00(h) x 0.32(d)
2257,Macbook Pro 2016: The Complete Beginner's Guide,Gack Davidson,9781542824569,CreateSpace Publishing,,102,8.50(w) x 11.00(h) x 0.21(d)
2258,Implementing Cisco IP Routing (ROUTE) Foundation Learning Guide: (CCNP ROUTE 300-101) / Edition 1,Diane Teare;  Bob Vachon;  Rick Graziani,9781587204562,Cisco Press,New Edition,768,7.50(w) x 9.20(h) x 5.70(d)
2259,The C++ Standard Library: A Tutorial and Reference / Edition 2,Nicolai M. Josuttis,9780321623218,Addison-Wesley,New Edition,1128,7.40(w) x 9.20(h) x 1.60(d)
2260,Network Security with OpenSSL: Cryptography for Secure Communications,John Viega;  Matt Messier;  Pravir Chandra,9780596002701,O'Reilly Media Incorporated,First Edition,386,7.00(w) x 9.19(h) x 0.90(d)
2261,AutoCAD 2014 For Dummies,Bill Fane;  David Byrnes,9781118603970,Wiley,,544,7.40(w) x 9.00(h) x 1.10(d)
2262,Access 2010: The Missing Manual,Matthew MacDonald,9781449382377,O'Reilly Media Incorporated,,812,7.00(w) x 9.20(h) x 1.70(d)
2263,Sensor Technologies: Healthcare Wellness and Environmental Applications,Michael J. McGrath;  Cliodhna Ni Scanaill;  Dawn Nafus,9781430260134,Apress,1st ed.,336,7.01(w) x 10.00(h) x 0.03(d)
2264,Being Digital,Nicholas Negroponte,9780679762904,Knopf Doubleday Publishing Group,,272,5.10(w) x 8.00(h) x 0.60(d)
2265,Book: A Futurist's Manifesto: A Collection of Essays from the Bleeding Edge of Publishing,Hugh McGuire;  Brian O'Leary,9781449305604,O'Reilly Media Incorporated,,318,8.80(w) x 6.00(h) x 0.70(d)
2266,The Everything Guide to Selling Arts & Crafts Online: How to sell on Etsy eBay your storefront and everywhere else online,Kim Solga,9781440559198,Adams Media,,304,7.80(w) x 9.10(h) x 0.70(d)
2267,Microsoft Surface Pro 4 for Seniors: An Easy Guide to the Best Features,Bill Stonehem,9781533559968,CreateSpace Publishing,,46,5.80(w) x 8.80(h) x 0.40(d)
2268,Learn Office 2016 for Mac,Guy Hart-Davis,9781484220016,Apress,2nd ed. 2016,711,7.10(w) x 10.00(h) x 1.90(d)
2269,The PC and Gadget Help Desk: A Do-It-Yourself Guide To Troubleshooting and Repairing,Mark Edward Soper,9780789753458,Que,,696,7.00(w) x 9.00(h) x 1.40(d)
2270,Lessons from the Virtual Classroom: The Realities of Online Teaching / Edition 2,Rena M. Palloff;  Keith Pratt,9781118123737,Wiley,New Edition,272,7.00(w) x 9.10(h) x 0.80(d)
2271,Windows 10 Primer: What to Expect from Microsoft's New Operating System,Mike Halsey,9781484210475,Apress,1st ed.,100,6.00(w) x 9.00(h) x 0.40(d)
2272,Phishing Dark Waters: The Offensive and Defensive Sides of Malicious Emails / Edition 1,Christopher Hadnagy;  Michele Fincher,9781118958476,Wiley,,192,5.90(w) x 8.90(h) x 0.60(d)
2273,Mastering Perl/Tk:Graphical User Interfaces in Perl / Edition 1,Stephen Lidie;  Nancy Walsh,9781565927162,O'Reilly Media Incorporated,,770,7.00(w) x 9.19(h) x 1.70(d)
2274,Monster Hunter World Game PC PS4 Weapons Tips Download Guide Unofficial,Josh Abbott,9781981499762,HIDDENSTUFF ENTERTAINMENT LLC.,,42,8.27(w) x 11.69(h) x 0.09(d)
2275,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,9780062362506,HarperCollins Publishers,Reprint,432,5.30(w) x 7.80(h) x 1.10(d)
2276,Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,9780984782857,CareerCup,,708,6.90(w) x 9.90(h) x 1.60(d)
2277,Microsoft Office 2010 Plain & Simple,Katherine Murray,9780735626973,Microsoft Press,,384,7.30(w) x 9.10(h) x 0.90(d)
2278,Trust Agents: Using the Web to Build Influence Improve Reputation and Earn Trust / Edition 2,Chris Brogan;  Julien Smith,9780470635490,Wiley,,320,5.90(w) x 8.90(h) x 0.90(d)
2279,UNIX(R) for Dummies,John R. Levine;  Margaret Levine Young,9780764541476,Wiley,Revised,412,7.37(w) x 9.20(h) x 0.90(d)
2280,The Ultimate GDPR Practitioner Guide: Demystifying Privacy & Data Protection,Stephen R Massey,9781999827205,Fox Red Risk,,344,6.00(w) x 1.25(h) x 9.00(d)
2281,Statistical Analysis: Microsoft Excel 2016,Conrad Carlberg,9780789759054,Que,,576,7.00(w) x 9.10(h) x 1.30(d)
2282,Summary of The Innovators: by Walter Isaacson Includes Analysis,Instaread Summaries,9781503166165,CreateSpace Publishing,,48,6.00(w) x 9.00(h) x 0.10(d)
2283,Affiliate Marketing Expert,Spencer Coffman,9781547194575,CreateSpace Publishing,,124,5.00(w) x 7.99(h) x 0.26(d)
2284,Arduino Sketches: Tools and Techniques for Programming Wizardry / Edition 1,James A. Langbridge,9781118919606,Wiley,,480,7.30(w) x 9.10(h) x 0.90(d)
2285,Podcasting For Dummies,Tee Morris;  Chuck Tomasi,9781119412199,Wiley,,408,7.30(w) x 9.20(h) x 1.10(d)
2286,Game Design: How to Create Video and Tabletop Games Start to Finish,Lewis Pulsipher,9780786469529,McFarland & Company Incorporated Publishers,New Edition,276,5.90(w) x 8.90(h) x 0.70(d)
2287,Microsoft Excel 2013 Plain & Simple,Curtis Frye,9780735672437,Microsoft Press,,368,7.30(w) x 9.00(h) x 0.80(d)
2288,Rise of the Videogame Zinesters: How Freaks Normals Amateurs Artists Dreamers Drop-outs Queers Housewives and People Like You Are Taking Back an Art Form,Anna Anthropy,9781609803728,Seven Stories Press,,208,5.20(w) x 7.90(h) x 0.60(d)
2289,Unreal Engine 4 for Design Visualization: Developing Stunning Interactive Visualizations Animations and Renderings,Tom Shannon,9780134680705,Addison-Wesley,,384,7.00(w) x 8.90(h) x 0.60(d)
2290,Excel 2013 All-in-One For Dummies,Greg Harvey,9781118510100,Wiley,,792,6.90(w) x 9.30(h) x 1.90(d)
2291,Game Programming Patterns,Robert Nystrom,9780990582908,Genever Benning,,354,7.40(w) x 9.60(h) x 0.70(d)
2292,Inside Cyber Warfare: Mapping the Cyber Underworld,Jeffrey Carr,9781449310042,O'Reilly Media Incorporated,Second Edition,318,6.90(w) x 9.10(h) x 0.80(d)
2293,Data Science and Big Data Analytics: Discovering Analyzing Visualizing and Presenting Data / Edition 1,EMC Education Services,9781118876138,Wiley,,432,7.50(w) x 9.30(h) x 1.10(d)
2294,Machining For Dummies,Kip Hanson,9781119426134,Wiley,,312,7.30(w) x 9.20(h) x 0.70(d)
2295,Java Programming for Android Developers For Dummies,Barry A. Burd,9781119301080,Wiley,,456,7.30(w) x 9.20(h) x 0.90(d)
2296,CompTIA Network+ N10-006 Exam Cram / Edition 5,Emmett Dulaney,9780789754103,Pearson IT Certification,,648,6.00(w) x 8.90(h) x 1.50(d)
2297,Internet Password Logbook - Botanical Edition: Keep track of: usernames passwords web addresses in one easy & organized location,Billie Brownell,9781591869085,Cool Springs Press,,128,4.10(w) x 5.90(h) x 0.70(d)
2298,Ubuntu 16.04 LTS Server: Administration and Reference,Richard Petersen,9781936280681,Surfing Turtle Press,,610,7.50(w) x 9.25(h) x 1.23(d)
2299,Windows 8 For Dummies,Andy Rathbone,9781118134610,Wiley,,432,7.30(w) x 9.20(h) x 0.90(d)
2300,OCA Oracle Database SQL Exam Guide (Exam 1Z0-071),Steve O'Hearn,9781259585494,McGraw-Hill Professional Publishing,,832,7.30(w) x 9.00(h) x 1.30(d)
2301,It's Not About the F-Stop,Jay Maisel,9780321987129,New Riders,,216,8.40(w) x 10.90(h) x 0.80(d)
2302,iOS Programming: Starter Guide: What Every Programmer Needs to Know About iOS Programming,Jason Scotts,9781630222970,Speedy Publishing LLC,,38,6.00(w) x 9.00(h) x 0.08(d)
2303,Adobe InDesign CC Classroom in a Book (2017 release) / Edition 1,Kelly Kordes Anton;  John Cruise,9780134664095,Adobe Press,,432,7.30(w) x 9.00(h) x 3.00(d)
2304,Exam Ref 70-345 Designing and Deploying Microsoft Exchange Server 2016,Paul Cunningham;  Brian Svidergol,9781509302079,Microsoft Press,,400,7.30(w) x 8.90(h) x 0.80(d)
2305,Three Weeks to eBay Profits: Go From Beginner to Successful Seller in Less than a Month,Skip McGrath,9781454905813,Sterling,,304,6.90(w) x 8.90(h) x 0.80(d)
2306,The DevOps Handbook: How to Create World-Class Agility Reliability and Security in Technology Organizations,Gene Kim;  Patrick Debois;  John Willis;  Jez Humble,9781942788003,IT Revolution Press,,480,5.90(w) x 8.90(h) x 1.10(d)
2307,Comprehensive Ruby Programming,Jordan Hudgens,9781787280649,Packt Publishing,,330,6.00(w) x 1.25(h) x 9.00(d)
2308,Illustrated Microsoft Office 365 & PowerPoint 2016: Introductory / Edition 1,David W. Beskeen,9781305878174,Cengage Learning,New Edition,,8.30(w) x 10.60(h) x 0.30(d)
2309,The Art of Computer Programming Volumes 1-4A Boxed Set / Edition 1,Donald E. Knuth,9780321751041,Addison-Wesley,,3168,7.00(w) x 10.10(h) x 7.30(d)
2310,The Language of SQL / Edition 2,Larry Rockoff,9780134658254,Addison-Wesley,,240,7.00(w) x 8.90(h) x 0.70(d)
2311,Genealogy For Dummies,Matthew L. Helm;  April Leigh Helm,9781119411963,Wiley,,408,7.40(w) x 9.20(h) x 0.90(d)
2312,AutoCAD Tutor for Engineering Graphics: 2013 and Beyond (with CAD Connect Web Site Printed Access Card),Kevin Lang,9781133960393,Cengage Learning,New Edition,1168,8.40(w) x 10.90(h) x 1.60(d)
2313,I Love My Computer Because My Friends Live in It: Stories from an Online Life,Jess Kimball Leslie,9780762461714,Running Press Book Publishers,,240,5.40(w) x 8.10(h) x 0.70(d)
2314,MCSA Windows Server 2016 Study Guide: Exam 70-741,William Panek,9781119359333,Wiley,,504,7.30(w) x 9.20(h) x 1.00(d)
2315,Think Python: How to Think Like a Computer Scientist / Edition 2,Allen B. Downey,9781491939369,O'Reilly Media Incorporated,,292,7.00(w) x 9.10(h) x 0.70(d)
2316,Launch: An Internet Millionaire's Secret Formula To Sell Almost Anything Online Build A Business You Love And Live The Life Of Your Dreams,Jeff Walker,9781630470173,Morgan James Publishing,,206,6.00(w) x 8.80(h) x 0.60(d)
2317,The Organization Of Information / Edition 3,Arlene G. Taylor;  Daniel N. Joudrey,9781591587002,ABC-CLIO Incorporated,Older Edition,512,7.00(w) x 9.90(h) x 1.30(d)
2318,Learn JavaScript Visually - WORKBOOK,Mr Ivelin Demirov,9781507809280,CreateSpace Publishing,,134,8.00(w) x 10.00(h) x 0.29(d)
2319,The Best Interface Is No Interface: The simple path to brilliant technology,Golden Krishna,9780133890334,New Riders,,256,6.00(w) x 8.90(h) x 0.70(d)
2320,Exam Ref 70-764 Administering a SQL Database Infrastructure,Victor Isakov,9781509303830,Microsoft Press,,416,7.40(w) x 8.90(h) x 1.00(d)
2321,Adobe Acrobat 6 PDF For Dummies,Greg Harvey,9780764537608,Wiley,,412,7.42(w) x 9.02(h) x 0.95(d)
2322,AutoCAD 3D Modeling: Exercise Workbook,Steve Heather,9780831136130,Industrial Press Inc.,First Edition,296,8.40(w) x 10.90(h) x 0.70(d)
2323,Learning React: Functional Web Development with React and Redux,Alex Banks;  Eve Porcello,9781491954621,O'Reilly Media Incorporated,,350,7.00(w) x 9.10(h) x 0.90(d)
2324,You Don't Know JS: Async & Performance,Kyle Simpson,9781491904220,O'Reilly Media Incorporated,,296,5.90(w) x 8.80(h) x 0.70(d)
2325,Windows 10 Plain & Simple,Nancy Muir Boysen,9780735697942,Microsoft Press,,320,7.30(w) x 9.10(h) x 0.50(d)
2326,Introduction to MATLAB for Engineers / Edition 3,William J Palm III,9780073534879,McGraw-Hill Higher Education,New Edition,576,7.30(w) x 9.10(h) x 0.90(d)
2327,The Dragonfly Effect: Quick Effective and Powerful Ways To Use Social Media to Drive Social Change / Edition 1,Jennifer Aaker;  Andy Smith,9780470614150,Wiley,,240,5.80(w) x 8.30(h) x 0.90(d)
2328,Graphic Design Portfolio Strategies for Print and Digital Media / Edition 1,Robert Rowe;  Harold Linton;  Gary Will,9780136140313,Pearson,New Edition,128,8.40(w) x 10.80(h) x 0.40(d)
2329,Mastering Regular Expressions,Jeffrey E. F. Friedl,9780596528126,O'Reilly Media Incorporated,Third Edition,544,7.00(w) x 9.19(h) x 1.30(d)
2330,A Project Guide to UX Design: For user experience designers in the field or in the making,Russ Unger;  Carolyn Chandler,9780321815385,New Riders,,360,7.00(w) x 8.90(h) x 0.80(d)
2331,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,9780262018029,MIT Press,,1104,7.90(w) x 9.10(h) x 1.70(d)
2332,Word 2013 For Dummies,Dan Gookin,9781118491232,Wiley,,408,7.30(w) x 9.10(h) x 1.00(d)
2333,Hands-on Programming with R,Garrett Grolemund,9781449359010,O'Reilly Media Incorporated,,250,6.90(w) x 9.10(h) x 0.60(d)
2334,The Practice of Cloud System Administration: DevOps and SRE Practices for Web Services Volume 2 / Edition 1,Thomas A. Limoncelli;  Strata R. Chalup;  Christina J. Hogan,9780321943187,Addison-Wesley,New Edition,560,7.00(w) x 9.00(h) x 1.30(d)
2335,Pokemon Sun and Pokemon Moon: The Official Alola Region Pokedex & Postgame Adventure Guide,Pokemon Company International,9780744018080,Penguin Random House,,384,7.90(w) x 10.30(h) x 0.70(d)
2336,Introduction to Programming Using Python / Edition 1,Y. Daniel Liang,9780132747189,Pearson,New Edition,576,7.90(w) x 9.90(h) x 0.80(d)
2337,A Modern Approach to Regression with R / Edition 1,Simon Sheather,9781441918727,Springer New York,Softcover reprint of hardcover 1st ed. 2009,393,6.10(w) x 9.25(h) x 0.03(d)
2338,WordPress For Dummies,Lisa Sabin-Wilson,9781119325925,Wiley,,432,7.30(w) x 9.20(h) x 1.00(d)
2339,Art of Deception: Controlling the Human Element of Security / Edition 1,Kevin D. Mitnick;  William L. Simon,9780764542800,Wiley,,368,5.44(w) x 9.64(h) x 0.85(d)
2340,CompTIA Network+ N10-006 Cert Guide / Edition 1,Keith Barker;  Kevin Wallace,9780789754080,Pearson IT Certification,,592,7.50(w) x 9.20(h) x 1.40(d)
2341,SQL Cookbook,Anthony Molinaro,9780596009762,O'Reilly Media Incorporated,,636,9.10(w) x 10.98(h) x 1.11(d)
2342,Coders at Work: Reflections on the Craft of Programming,Peter Seibel,9781430219484,Apress,1st ed.,632,6.00(w) x 8.90(h) x 1.30(d)
2343,Oracle PL/SQL Programming by Steven Feuerstein  Bill Pri,,9781449324452,O'Reilly Media Incorporated,Sixth Edition,1392,7.00(w) x 9.20(h) x 2.50(d)
2344,Handbook of Discrete and Combinatorial Mathematics Second Edition / Edition 2,Kenneth H. Rosen,9781584887805,Taylor & Francis,Revised,1612,7.00(w) x 10.00(h) x (d)
2345,Teach Yourself VISUALLY OS X El Capitan,Paul McFedries,9781119173878,Wiley,,352,9.00(w) x 7.30(h) x 0.70(d)
2346,Information Technology Project Management / Edition 8,Kathy Schwalbe,9781285452340,Cengage Learning,New Edition,,7.30(w) x 9.00(h) x 1.00(d)
2347,Idiot's Guides: Digital Photography,Shawn Frederick,9781615644131,DK,Revised,224,7.60(w) x 9.20(h) x 0.70(d)
2348,The Underground Culinary Tour: How the New Metrics of Today's Top Restaurants Are Transforming How America Eats,Damian Mogavero;  Joseph D'Agnese,9781101903308,The Crown Publishing Group,,336,5.90(w) x 8.30(h) x 1.50(d)
2349,Shadows of the Mind: A Search for the Missing Science of Consciousness,Roger Penrose,9780195106466,Oxford University Press USA,Reprint,480,9.25(w) x 6.06(h) x 0.96(d)
2350,QuickBooks 2015 For Dummies,Stephen L. Nelson,9781118920152,Wiley,,408,9.20(w) x 7.30(h) x 0.90(d)
2351,The C++ Programming Language / Edition 4,Bjarne Stroustrup,9780133522853,Pearson Education,,,
2352,The Laptop Millionaire: How Anyone Can Escape the 9 to 5 and Make Money Online,Mark Anastasi,9781118271797,Wiley,,272,6.20(w) x 9.10(h) x 1.00(d)
2353,C Programming Absolute Beginner's Guide / Edition 3,Greg Perry;  Dean Miller,9780789751980,Que,,337,6.90(w) x 9.10(h) x 0.90(d)
2354,Node.js 8 the Right Way: Practical Server-Side JavaScript That Scales,Jim Wilson,9781680501957,Pragmatic Programmers LLC The,,336,7.40(w) x 9.20(h) x 0.70(d)
2355,Work From Home: Book II Freelancing: The Training & The Tools In One Place,Get Digital World,9781981470037,CreateSpace Publishing,,196,8.50(w) x 11.02(h) x 0.42(d)
2356,Seventeenth-Century British Poetry 1603-1660 / Edition 1,John P. Rumrich,9780393979985,Norton W. W. & Company Inc.,New Edition,768,5.60(w) x 9.20(h) x 1.20(d)
2357,TCP/IP in 24 Hours Sams Teach Yourself,Joe Casad,9780672337895,Sams,,544,7.00(w) x 9.10(h) x 1.30(d)
2358,The Legend of Zelda: Hyrule Historia,Eiji Aonuma;  Akira Himekawa,9781616550417,Dark Horse Comics,,272,9.30(w) x 12.20(h) x 1.00(d)
2359,The Official Ubuntu Book / Edition 9,Matthew Helmke;  Elizabeth K. Joseph;  Jose Antonio Rey,9780134513423,Prentice Hall,,368,7.00(w) x 9.00(h) x 1.00(d)
2360,CCNP Routing and Switching v2.0 Official Cert Guide Library / Edition 1 by Kevin Wallace  David Huca,  Cristian Matei;  Wendell Odom,9781587206634,Cisco Press,New Edition,2050,8.10(w) x 9.80(h) x 6.00(d)
2361,AutoCAD Civil 3D 2016 Essentials: Autodesk Official Press / Edition 1,Eric Chappell,9781119059592,Wiley,,416,7.30(w) x 9.00(h) x 0.90(d)
2362,Bill Gates: The Path to the Future,Jonathan Gatlin,9780380806256,HarperCollins Publishers,,224,5.25(w) x 8.00(h) x 0.56(d)
2363,Level Up! The Guide to Great Video Game Design / Edition 2,Scott Rogers,9781118877166,Wiley,,552,9.20(w) x 7.30(h) x 1.20(d)
2364,Mastering Autodesk Revit MEP 2016: Autodesk Official Press / Edition 1,Simon Whitbread,9781119059370,Wiley,,816,7.20(w) x 9.10(h) x 1.70(d)
2365,Make: Sensors: A Hands-On Primer for Monitoring the Real World with Arduino and Raspberry Pi,Tero Karvinen;  Kimmo Karvinen;  Ville Valtokari,9781449368104,Maker Media Inc,,400,7.50(w) x 9.10(h) x 0.70(d)
2366,Digital Photography Through the Year 2nd Edition,Tom Ang,9781465444837,DK,Reprint,360,7.70(w) x 9.20(h) x 1.00(d)
2367,Macs For Dummies,Edward C. Baig,9781119239611,Wiley,,416,7.00(w) x 8.90(h) x 0.50(d)
2368,American Girls: Social Media and the Secret Lives of Teenagers,Nancy Jo Sales,9780804173186,Knopf Doubleday Publishing Group,,416,5.10(w) x 7.90(h) x 1.10(d)
2369,The Art of 3D Computer Animation and Effects / Edition 4,Isaac V. Kerlow,9780470084908,Wiley,,512,7.40(w) x 9.10(h) x 1.20(d)
2370,Elemental Magic Volume I: The Art of Special Effects Animation / Edition 1,Joseph Gilland,9780240811635,Taylor & Francis,New Edition,328,10.80(w) x 8.50(h) x 0.90(d)
2371,Guide to Computer Forensics and Investigations (with DVD) / Edition 5,Bill Nelson;  Amelia Phillips;  Christopher Steuart,9781285060033,Cengage Learning,New Edition,752,7.30(w) x 8.90(h) x 1.70(d)
2372,Succeeding with Agile: Software Development Using Scrum / Edition 1,Mike Cohn,9780321579362,Addison-Wesley,,476,7.30(w) x 9.00(h) x 1.10(d)
2373,Cyber-Safe Kids Cyber-Savvy Teens: Helping Young People Learn To Use the Internet Safely and Responsibly,Nancy E. Willard,9780787994174,Wiley,,336,5.90(w) x 8.80(h) x 1.00(d)
2374,Salesforce Marketing Cloud For Dummies,Chester Bullock;  Mark Pollard,9781119122098,Wiley,,360,7.30(w) x 9.20(h) x 0.80(d)
