title,author,isbn,publisher,edition,pages,dimension
Black Paths,David B,9.78191E+12,Selfmadehero,Unknown,,
Autonomous and Self-Directed Learning b,onomous and Self-Directed Learning by,9.78099E+12,Watertree Press,Unknown,,
The Hunt in the Forest,John Burnside,9.78022E+12,Random House UK,Unknown,51 pages,6.35 x 7.79 x 0.26 inches
Black Cat Bone,John Burnside,9.78156E+12,Graywolf Press,Unknown,,
Fleabag,Phoebe Waller-Bridge,9.78185E+12,Nick Hern Books,Unknown,,
Atom,Isaac Asimov; D. F. Bach,9.78045E+12,Plume Books,Unknown,336 pages,6.03 x 9.04 x 0.77 inches
Full Assault Mode,Dalton Fury,9.78125E+12,St. Martin's Paperbacks,Unknown,,
Fantastic Voyages,Dubeck; Suzanne E. Moshier; Judith E. Boss,9.78039E+12,Springer,2,352 pages,6.48 x 9.24 x 0.70 inches
Moon Madness,Chris Baker,9.78143E+12,Authorhouse,Unknown,236 pages,5.00 x 8.00 x 0.54 inches
The High King of Montival,S. M. Stirling,9.78045E+12,Roc,Unknown,514 pages,4.20 x 7.40 x 1.20 inches
Monetary Policy,Peter Bofinger,9.7802E+12,Oxford University Press USA,Unknown,480 pages,6.48 x 9.14 x 1.03 inches
Burn (Michael Bennett),James; Ledwidge; Michael Patterson,9.78146E+12,Vision,Unknown,,
Follow Your Vision and Never Give Up!,Barbara Ann Smith-Sterrett,9.78149E+12,iUniverse.com,Unknown,112 pages,5.98 x 9.02 x 0.28 inches
Daniel Deronda - Vol. I,George Eliot,9.78144E+12,Lovenstein Press,Unknown,436 pages,5.50 x 8.50 x 0.97 inches
Double Dip,Gretchen Archer,9.78194E+12,Henery Press,Unknown,268 pages,5.51 x 8.50 x 0.55 inches
Why People Fail,Siimon Reynolds,9.78112E+12,Jossey-Bass,Unknown,,
Circle of Fire (Damask Circle),Keri Arthur,9.78044E+12,Dell,Unknown,,
Meeting Infinity,Gregory; Corey; James S.A.; Ashby; Madeline; de Bod Benford,9.78178E+12,Solaris,Unknown,,
Main Street,Sinclair Lewis,9.7815E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Science of Science Fiction Writing,James Gunn,9.78158E+12,Scarecrow Press,Unknown,256 pages,5.98 x 9.02 x 0.74 inches
A Ghostly Reunion,Tonya Kappes,9.78006E+12,Witness,Unknown,,
Star Trek: Dti,Christopher L. Bennett,9.78145E+12,Pocket Books/Star Trek,Unknown,368 pages,6.74 x 7.42 x 0.99 inches
Grace Abounding [Christmas Summary Classics],John Bunyan,9.78149E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Silver Tattoo,Laura Treacy Bentley,9.78148E+12,CreateSpace Independent Publishing Platform,Unknown,,
Paper Girls Deluxe Edition Volume 1,Brian K Vaughan,9.78153E+12,Image Comics,Unknown,,
Chu's Day at the Beach,Neil Gaiman,9.78006E+12,HarperCollins,Unknown,,
Close Case,Alafair Burke,9.78125E+12,St. Martin's Griffin,Unknown,,
Fiasco,Stanislaw Lem; Michael Kandel,9.78016E+12,Harvest Books,Unknown,336 pages,5.82 x 8.06 x 0.85 inches
History Within,Marianne Sommer,9.78023E+12,University Of Chicago Press,Unknown,,
Juliet in August,Dianne Warren,9.78043E+12,Berkley Publishing Group,Unknown,384 pages,
Off the Beaten Path 1,Jason T.; Roquet; Angela; La Porta; Monica; Sant; Sh Graves,9.78194E+12,Prospective Press,Unknown,,
The Inferno (Barnes & Noble Classics Series),Dante Alighieri; Peter Bondanella; Henry Wadsworth Longfellow,9.78159E+12,Barnes & Noble Classics,Unknown,352 pages,5.14 x 8.06 x 0.90 inches
A Thistle Beyond Time,Jennae Vale,9.78099E+12,Jean Lilienthal,Unknown,,
Beyond the Farthest Suns (The Complete Short Fiction of Greg Bear),Greg Bear,9.7815E+12,Open Road Media Sci-Fi & Fantasy,Unknown,,
Finding Fraser,kc dyer,9.7804E+12,Berkley,Unknown,,
Isaac Asimov's Treasury of Humor,Isaac Asimov,9.7804E+12,Mariner Books,Unknown,448 pages,5.20 x 8.00 x 1.10 inches
Dark Moon Defender,Sharon Shinn,9.78044E+12,Ace Books,Unknown,466 pages,4.28 x 6.78 x 1.30 inches
The Samurai's Daughter,Sujata Massey,9.78006E+12,Harper Perennial,Unknown,336 pages,5.22 x 7.98 x 0.80 inches
The Phenomenal Hound,Mrs Debbie Joy Emmett Pastor,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Discovering the Joy Within,Allyson M. Deese; Isaiah David Paul,9.78147E+12,Createspace,Unknown,194 pages,5.50 x 8.50 x 0.41 inches
Staging Migrations toward an American West,Marta Effinger-Crichlow,9.78161E+12,University Press of Colorado,Unknown,,
Face the Flames (Sugarland Blue Novel),Jo Davis,9.78045E+12,Berkley,Unknown,,
Dragon Bones,Patricia Briggs,9.78044E+12,Ace Books,Unknown,304 pages,4.17 x 6.74 x 0.86 inches
Stories,Katherine Mansfield; Jeffrey Meyers,9.78068E+12,Vintage Books,Unknown,368 pages,5.10 x 7.90 x 0.80 inches
Wee Rhymes,Jane Yolen; Jane Dyer,9.78142E+12,Simon & Schuster/Paula Wiseman Books,Unknown,112 pages,
The Strain TV Tie-in Edition (The Strain Trilogy),Guillermo; Hogan; Chuck Del Toro,9.78006E+12,Harper,Unknown,,
Manbeasts,Adam Davies,9.78191E+12,cfz,Unknown,,
All Worth Their Salt: Volume 5,Jeff Manes,9.781E+12,Jeff Manes,Unknown,,
Swamp Thing,Brian K. Vaughan,9.7814E+12,DC Comics,Unknown,240 pages,6.65 x 10.16 x 0.39 inches
'Olelo Hou,Mr John Keolamaka'ainana Lake,9.78153E+12,CreateSpace Independent Publishing Platform,Unknown,,
How Beer Saved the World,Irene; Ferrari; Mark J.; Clough; Brenda W.; Moore; Radford,9.78062E+12,Sky Warrior Book Publishing LLC,Unknown,,
Life after Death,Brad C. Fite,9.78151E+12,CreateSpace Independent Publishing Platform,Unknown,,
Signed Picpus (Inspector Maigret),Georges Simenon,9.78024E+12,Penguin Books,Unknown,,
Gold Rush (Blackwood Security) (Volume 4),Elise Noble,9.78191E+12,Undercover Publishing Limited,Unknown,,
Peace on Earth,Stanislaw Lem; Michael Kandel; Elinor Ford,9.78016E+12,Mariner Books,Unknown,240 pages,5.32 x 7.94 x 0.72 inches
Science Fiction (Readers' Guides to Essential Criticism),Brian Baker,9.78023E+12,Palgrave Macmillan,Unknown,,
High Voltage (The Vigilante Chronicles),Anthony Price,9.78178E+12,Vanguard Press,Unknown,,
Black Tide,Michael Dennis Hamilton,9.7815E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Christmas Box,Richard Paul Evans,9.78145E+12,Simon & Schuster,Unknown,128 pages,
Inside Joss' Dollhouse,Jane Espenson; Leah Wilson,9.78194E+12,Smart Pop,Unknown,257 pages,5.50 x 8.10 x 0.68 inches
The Ancient Greek Historians,J. B. Bury,9.78076E+12,Barnes & Noble,Unknown,,
Guilty Pleasures,Laura Lee Guhrke,9.78006E+12,Avon Books,Unknown,373 pages,4.17 x 6.91 x 1.04 inches
Darling Beast (Maiden Lane),Elizabeth Hoyt,9.78146E+12,Grand Central Publishing,Unknown,,
Star Trek Volume 8,Mike Johnson,9.78163E+12,IDW Publishing,Unknown,,
The Opinions of a Philosopher,Robert Grant,9.78153E+12,CreateSpace Independent Publishing Platform,Unknown,,
Hardy Boys 12,Franklin W. Dixon,9.78045E+12,Grosset & Dunlap,Unknown,192 pages,5.01 x 7.59 x 0.75 inches
Butterfly,Cambria Hebert,9.78195E+12,Cambria Hebert,Unknown,,
Science Fiction America,David J. Hogan,9.78079E+12,McFarland & Company,Unknown,280 pages,7.02 x 9.98 x 0.65 inches
The Complete Fiction Collection Vol I,H. P. Lovecraft,9.78141E+12,Lulu.com,Unknown,610 pages,5.98 x 9.02 x 1.50 inches
Chiseled,Julie Ann Somers,9.78145E+12,iUniverse.com,Unknown,136 pages,7.99 x 5.00 x 0.29 inches
3D Game Engine Design,David H. Eberly,9.78012E+12,Morgan Kaufmann Publishers,2,1018 pages,7.80 x 9.48 x 2.04 inches
Backfire (An FBI Thriller),Catherine Coulter,9.78052E+12,Jove,Unknown,,
Keep the Aspidistra Flying,George Orwell,9.78016E+12,Mariner Books,Unknown,264 pages,5.45 x 8.02 x 0.60 inches
Death of a Dapper Snowman (Stormy Day Cozy Murder Mystery) (Volume 1),Angela Pepper,9.7815E+12,CreateSpace Independent Publishing Platform,Unknown,,
A Ghostly Demise,Tonya Kappes,9.78006E+12,Witness,Unknown,,
The Winding Road Home,Sally John,9.78074E+12,Harvest House Publishers,Unknown,367 pages,5.54 x 8.52 x 0.94 inches
The Seam,John Kitterman,9.78062E+12,Hummingbird Hill Publications,Unknown,334 pages,5.24 x 7.99 x 0.70 inches
The Mayor of Casterbridge,Thomas Hardy; David Kurnick; Phillip Lopate,9.78159E+12,Barnes & Noble Classics,Unknown,352 pages,5.32 x 8.02 x 0.92 inches
Collect Essay Orwell,Sonia Orwell; George Orwell; Orwell,9.78016E+12,Mariner Books,Unknown,576 pages,5.70 x 8.46 x 1.44 inches
The Art of Todd McFarlane,Todd McFarlane,9.78161E+12,Image Comics,Unknown,400 pages,
Vices of My Blood (Detective Murdoch Mysteries),Maureen Jennings,9.78077E+12,McClelland & Stewart,Unknown,,
Blueberry Muffin Murder,Joanne Fluke,9.78076E+12,Kensington Publishing Corporation,Unknown,319 pages,4.22 x 6.78 x 1.09 inches
Hydrogen and Fuel Cells (Innovative Technologies),Hirsch Rebecca Eileen,9.78162E+12,Essential Library,Unknown,,
In Time for Christmas,Monique Martin,9.78154E+12,CreateSpace Independent Publishing Platform,Unknown,,
Intersections,George E. Slusser; Eric S. Rabkin; George Edgar Slusser,9.78081E+12,Southern Illinois University Press,Unknown,264 pages,
Blindspot,Jane Kamensky; Jill Lepore,9.78039E+12,Spiegel & Grau,Unknown,529 pages,5.30 x 8.04 x 1.17 inches
Science,Kickazz Notebooks,9.78151E+12,CreateSpace Independent Publishing Platform,Unknown,,
Grooming Mr. Right (A Bluegrass Romance) (Volume 1),Tonya Kappes,9.78149E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Pilgrim's Progress,John] (Bunyan; Frederick Barnard,9.78194E+12,Suzeteo Enterprises,Unknown,264 pages,6.00 x 9.00 x 0.60 inches
A Collection of Seven Children's Stories,Kristin Sewell,9.78147E+12,Authorhouse,Unknown,80 pages,8.50 x 8.50 x 0.21 inches
Diane Von Furstenberg and the Tale of the Empress's New Clothes,Camilla Morton,9.78006E+12,HarperCollins Publishers Inc,Unknown,112 pages,6.26 x 8.74 x 0.00 inches
The Julius House,Charlaine Harris,9.78043E+12,Berkley Trade Pub,Unknown,227 pages,4.13 x 6.82 x 0.67 inches
Country Light~ Lined Journal (Fine Art Rainbow Journals),Laurel Marie Sobol,9.78149E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Handy Chemistry Answer Book,Ian C. Stewart,9.78158E+12,Visible Ink Press,Unknown,388 pages,7.01 x 9.21 x 0.83 inches
A Concise Review of World History (Vol 4 5 & 6),Marie Elizabeth Fogarty,9.78143E+12,Trafford Publishing,Unknown,460 pages,7.52 x 9.25 x 0.93 inches
A Cure for Suicide,Jesse Ball,9.7811E+12,Vintage,Unknown,,
Shalador's Lady,Anne Bishop,9.78045E+12,Roc,Unknown,464 pages,4.30 x 6.70 x 1.30 inches
Paper Girls Volume 2,Brian K Vaughan,9.78163E+12,Image Comics,Unknown,,
Dance of the Reptiles: Rampaging Tourists Marauding Pythons Larcenous Legislators Crazed Celebrities and Tar-Balled Beaches,Carl Hiaasen,9.78035E+12,Vintage,Unknown,,
Moon Called,Patricia Briggs; David Lawrence; Amelia Woo,9.78161E+12,Dynamite Entertainment,Unknown,120 pages,6.60 x 10.00 x 0.50 inches
Exploring the Limits of the Human Through Science Fiction,Gerald Alva Miller Jr,9.78114E+12,Palgrave MacMillan,Unknown,240 pages,
Destined for an Early Grave,Jeaniene Frost,9.78006E+12,Avon Books,Unknown,385 pages,4.20 x 7.10 x 1.40 inches
Court of the Air,Stephen Hunt,9.78077E+12,Forge,Unknown,,
Wild Orchids,Karen Robards; Garlock,9.78045E+12,Grand Central Publishing,Unknown,384 pages,4.14 x 6.90 x 1.05 inches
Fear the Dark (A Bishop/SCU Novel),Kay Hooper,9.78052E+12,Jove,Unknown,,
The Iron Tactician (NewCon Press Novellas Set 1),Alastair Reynolds,9.78191E+12,NewCon Press,Unknown,,
The Best Science Fiction and Fantasy of the Year,Jonathan Strahan,9.78178E+12,Solaris,Unknown,,
Crime Scene,Jonathan; Kellerman; Jesse Kellerman,9.7804E+12,Ballantine Books,Unknown,,
A Little Princess (Barnes & Noble Collectible Edition) Bonded Leather,Frances Hofgson Burnett,9.78144E+12,BOOKS,Unknown,,
Small Great Things,Jodi Picoult,9.78035E+12,Ballantine Books,Unknown,,
Grey Areas - The Saga (Books 1-4),Brad Carl,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Maggie: A Girl of the Streets,Stephen Crane; Robert Tine,9.78159E+12,Barnes & Noble,Unknown,244 pages,5.44 x 7.98 x 0.69 inches
Kelly's Song,Kelly Horton,9.7816E+12,Dog Ear Publishing,Unknown,176 pages,5.50 x 8.50 x 0.38 inches
Black Storm Comin',Diane Lee Wilson,9.78069E+12,Aladdin Paperbacks,Unknown,295 pages,5.32 x 9.36 x 0.86 inches
Angel Omnibus,Scott Tipton; David Tischman; Scott Lobdell,9.7816E+12,IDW Publishing,Unknown,444 pages,6.02 x 9.03 x 0.95 inches
Imagination Fully Dilated,Patrick Swenson; Robert Kruger; Alan M. Clark,9.78097E+12,Fairwood Press,Unknown,228 pages,5.96 x 9.14 x 0.59 inches
A Tale of Two Cities,Charles Dickens; Gillen D'Arcy Wood,9.78159E+12,Barnes & Noble Classics,Unknown,448 pages,5.30 x 7.98 x 1.23 inches
Magic For Nothing (InCryptid),Seanan McGuire,9.78076E+12,DAW,Unknown,,
The Dime Novel in Children's Literature,Vicki Anderson,9.78079E+12,McFarland & Company,Unknown,268 pages,6.02 x 9.04 x 0.60 inches
Nobody's Angel,Karen Robards,9.78044E+12,Dell Publishing Company,Unknown,416 pages,4.21 x 6.73 x 1.15 inches
A Step of Faith,Richard Paul Evans,9.78145E+12,Simon & Schuster,Unknown,,
Broken Crescent,S. Andrew Swann,9.78076E+12,Daw Books,Unknown,377 pages,4.20 x 6.74 x 1.05 inches
Hot Pursuit,Jo Davis,9.78045E+12,Signet,Unknown,,
Medusa's Coil and Others,H. P.; Joshi; S. T. Lovecraft,9.78194E+12,Arcane Wisdom,Unknown,,
Deceived 3,The Phantom,9.78098E+12,RJ Publications,Unknown,,
Ex Machina Book Three,Brian K. Vaughan,9.7814E+12,Vertigo,Unknown,,
Of Gods and Monsters,John T. Soister,9.78079E+12,McFarland & Company,Unknown,395 pages,6.98 x 10.00 x 0.93 inches
The Handy Law Answer Book,David L.; Jr. Hudson,9.78158E+12,Visible Ink Press,Unknown,413 pages,7.36 x 9.26 x 0.91 inches
Sacraments of Fire (Star Trek,David R. George III,9.78148E+12,Pocket Books/Star Trek,Unknown,,
The Anaesthesia Science Viva Book,Simon Bricker,9.78132E+12,Cambridge University Press,Unknown,,
Not a Creature Was Purring (A Paws & Claws Mystery),Krista Davis,9.7811E+12,Berkley,Unknown,,
Persuasion,Jane Austen; Susan Ostrov Weisser,9.78159E+12,Barnes & Noble,Unknown,249 pages,5.20 x 8.00 x 0.78 inches
Guillermo del Toro Deluxe Hardcover Sketchbook,Guillermo del Toro,9.78161E+12,Insights,Unknown,,
Every Heart a Doorway (Wayward Children),Seanan McGuire,9.78077E+12,Tor.com,Unknown,,
St. Raven,Jo Beverley,9.78045E+12,Signet Book,Unknown,374 pages,4.38 x 6.92 x 1.10 inches
Redemption Ark,Alastair Reynolds,9.78044E+12,Ace Books,Unknown,704 pages,4.28 x 6.78 x 1.20 inches
Rover and the Dog Hotel,Uncle Amos,9.78149E+12,CreateSpace Independent Publishing Platform,Unknown,,
The 39 Clues: Cahills vs. Vespers,David Baldacci,9.78055E+12,Scholastic Inc.,Unknown,272 pages,
Haven,Kay Hooper,9.78052E+12,Jove,Unknown,,
Expert Assistance,Robert Collins,9.78146E+12,Createspace,Unknown,170 pages,8.00 x 5.25 x 0.36 inches
Expanded Science Fiction Worlds of Forrest J Ackerman & Friends Plus,Forrest J. Ackerman; Theodore Sturgeon; Alfred Elton Van Vogt,9.78092E+12,James A. Rock & Company Publishers,Unknown,220 pages,6.04 x 8.96 x 0.60 inches
The Moonstone,Wilkie Collins,9.78014E+12,Penguin Books,Unknown,,
Adia,Tina Marie Christensen,9.78154E+12,CreateSpace Independent Publishing Platform,Unknown,,
Some Girls Bite,Chloe Neill,9.78045E+12,New American Library,Unknown,341 pages,5.35 x 8.03 x 0.76 inches
Dragonfly in Amber (Starz Tie-in Edition),Diana Gabaldon,9.7804E+12,Bantam,Unknown,,
Hunting Ground,Patricia Briggs,9.78044E+12,Ace Books,Unknown,286 pages,4.10 x 6.70 x 0.90 inches
Haunt Volume 3,Robert Kirkman; Todd McFarlane; Greg Capullo,9.78161E+12,Image Comics,Unknown,160 pages,6.60 x 10.10 x 0.40 inches
Golden Buddha,Clive Cussler; Craig Dirgo,9.78043E+12,Berkley Trade Pub,Unknown,416 pages,4.22 x 6.84 x 1.18 inches
Crazy Ex-Ghoulfriend,Angela Roquet,9.78149E+12,CreateSpace Independent Publishing Platform,Unknown,,
Verdict Unsafe,Jill McGown,9.78045E+12,Fawcett Books,Unknown,336 pages,4.19 x 6.82 x 0.94 inches
Science Fiction Hobby Games,Neal Tringham,9.78096E+12,Pseudonymz,Unknown,352 pages,5.98 x 9.02 x 0.71 inches
Beverly Hills Dead,Stuart Woods,9.78045E+12,Signet Book,Unknown,399 pages,4.40 x 7.52 x 1.07 inches
The Woman in the Window,A. J. Finn,9.78006E+12,William Morrow,Unknown,,
Blade of the Ghosts,Jonathan Moeller,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Advanced Drilling Engineering,G. Robello Samuel; Xiushan Liu,9.78193E+12,Gulf Publishing Company,Unknown,504 pages,6.40 x 9.10 x 1.40 inches
Saga Vol. 5,Brian K. Vaughan,9.78163E+12,IMAGE COMICS,Unknown,,
The Fold,Peter Clines,9.78055E+12,Broadway Books,Unknown,,
Eclipse One,Garth Nix; Peter S. Beagle; Jeffrey Ford,9.7816E+12,Night Shade Books,Unknown,263 pages,5.55 x 8.50 x 0.73 inches
A Century of Welsh Myth in Children's Literature,Donna R. White,9.78031E+12,Praeger,Unknown,176 pages,6.38 x 9.56 x 0.71 inches
Mayan Blood (The Stone Legacy Series) (Volume 1),Theresa Dalayne,9.78168E+12,Limitless Publishing LLC,Unknown,,
Snow in Summer,Jane Yolen,9.78014E+12,Puffin Books,Unknown,272 pages,
The Count of Monte Cristo,Alexandre Dumas; Luc Sante,9.78159E+12,Barnes & Noble,Unknown,608 pages,4.91 x 8.30 x 1.74 inches
Deep Freeze (West Coast Series),Lisa Jackson,9.78142E+12,Zebra,Unknown,,
Science Fiction and Fantasy Artists of the Twentieth Century,Jane Frank,9.78079E+12,McFarland & Co Inc,Unknown,534 pages,7.01 x 10.00 x 0.00 inches
Book of Mary Magdalene Grey Scale Ediiton (Wonderful People of the Bible),Laurel Marie Sobol,9.78151E+12,CreateSpace Independent Publishing Platform,Unknown,,
Peter Pan in Kensington Gardens (1906) by J. M. Barrie (Children's Classics),J. M. Barrie,9.78153E+12,CreateSpace Independent Publishing Platform,Unknown,,
Gone,Randy Wayne White,9.78043E+12,Berkley,Unknown,,
The Star Trek: The Original Series: The Eugenics Wars #1,Greg Cox,9.78145E+12,Pocket Books/Star Trek,Unknown,560 pages,5.00 x 7.99 x 1.24 inches
Alien Dimensions #6,Neil A.; S.; Aishwarya; Zakour; John; Merchant; Aric; Hogan,9.78154E+12,CreateSpace Independent Publishing Platform,Unknown,,
I Michael Bennett,James; Ledwidge; Michael Patterson,9.78045E+12,Vision,Unknown,,
Modern Russian Science Fiction (Russian Edition),Tanya Bila,9.78151E+12,CreateSpace Independent Publishing Platform,Unknown,,
Let Loose the Dogs,Maureen Jennings,9.78077E+12,McClelland & Stewart,Unknown,495 pages,5.20 x 7.90 x 1.10 inches
Memoirs,William T. Sherman,9.78076E+12,Barnes & Noble Books,Unknown,,
Change of Heart,Jodi Picoult,9.7815E+12,Pocket Books,Unknown,,
Crime Scene Photography,Edward M. Robinson; Gerald B. Richards,9.78012E+12,Academic Press,2,694 pages,7.60 x 9.40 x 1.50 inches
Portal to Another Universe,Rod J Hamon,9.78148E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Jungle Books (Barnes & Noble Classics Series),Rudyard Kipling; Lisa Makman,9.78159E+12,Barnes & Noble Classics,Unknown,432 pages,5.20 x 7.74 x 1.18 inches
The Merry Heart,Robertson Davies,9.78014E+12,Penguin Books,Unknown,400 pages,5.09 x 7.76 x 0.78 inches
For the Birds (Lana Harvey Reapers Inc.),Angela Roquet,9.78148E+12,CreateSpace Independent Publishing Platform,Unknown,,
Forbidden Brides of the Faceless Slaves in the Secret House of the Night of Dread Desire,Neil Gaiman,9.78151E+12,Dark Horse Books,Unknown,,
CIA Assassin and Other Stories,Benson Lee Grayson,9.78069E+12,Benson Lee Grayson,Unknown,,
The Diva Steals a Chocolate Kiss (A Domestic Diva Mystery),Krista Davis,9.78043E+12,Berkley,Unknown,,
Sleight of Hand,Peter S. Beagle,9.78162E+12,Tachyon Publications,Unknown,287 pages,5.59 x 8.51 x 0.78 inches
Dust to Dust,James M. Thompson,9.78079E+12,Pinnacle,Unknown,,
A Distant View of Everything,Alexander McCall Smith,9.78031E+12,Pantheon,Unknown,,
Babbitt,Sinclair Lewis; Kenneth Krauss,9.78159E+12,Barnes & Noble,Unknown,369 pages,5.40 x 7.94 x 1.05 inches
Animal Farm - Large Print Edition,George Orwell,9.78487E+12,Ishi Press,Unknown,,
Survival,Joshua Luna; Jonathan Luna,9.78158E+12,Image Comics,Unknown,152 pages,6.62 x 10.16 x 0.30 inches
Recent Advances in Actinide Science,Royal Society of Chemistry; R. Alvarez; N. D. Bryan,9.78085E+12,Royal Society of Chemistry,Unknown,836 pages,6.40 x 9.38 x 1.94 inches
Scholar Series Workbooks,School Zone Publishing,9.78089E+12,School Zone Publishing Company,Unknown,64 pages,8.51 x 10.86 x 0.24 inches
The Best American Science Fiction and Fantasy 2016 (The Best American Series ) b,Best American Science Fiction and Fantasy 2016 (The Best American Series ) by,9.78054E+12,Mariner Books,Unknown,,
Devil's Embrace,Catherine Coulter,9.78045E+12,Signet Book,Unknown,416 pages,4.20 x 6.76 x 1.15 inches
Shattering Low Expectations,Ed J. Harris,9.78142E+12,Authorhouse,Unknown,208 pages,8.25 x 11.00 x 0.44 inches
Dead Ground in Between (Tom Tyler Mystery Series),Maureen Jennings,9.78077E+12,McClelland & Stewart,Unknown,,
Tales of Fishes,Zane Grey,9.78154E+12,CreateSpace Independent Publishing Platform,Unknown,,
Orbs,Nicholas Sansbury Smith,9.7815E+12,Simon & Schuster/ Simon451,Unknown,,
For All Time,Jude Deveraux,9.78035E+12,Ballantine Books,Unknown,,
Sons of Lyra,Felicity Heaton,9.78146E+12,Createspace,Unknown,136 pages,9.02 x 5.98 x 0.32 inches
All the Days and Nights,William F. Maxwell; Maxwell,9.78068E+12,Vintage Books,Unknown,434 pages,5.24 x 8.01 x 0.98 inches
Lost Boy,Jane Yolen; Steve Adams,9.78053E+12,Dutton Children's Books,Unknown,40 pages,9.04 x 11.30 x 0.39 inches
Foundations of Vacuum Science and Technology,Lafferty; J. M. Lafferty; James M. Lafferty,9.78047E+12,Wiley-Interscience,Unknown,760 pages,7.28 x 10.24 x 1.60 inches
Bibliographie der deutschsprachigen Science Fiction und Fantasy,Christian Pree,9.78154E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Procedure,Harry Mulisch; Paul Vincent,9.78014E+12,Penguin Books,Unknown,240 pages,5.08 x 7.76 x 0.45 inches
High Voltage P-Channel Dmos-Igbts in Sic,Yang Sui,9.78364E+12,VDM Verlag,Unknown,132 pages,6.00 x 9.00 x 0.28 inches
Los inocentes (Spanish Edition),David Baldacci,9.78847E+12,Ediciones B,Unknown,,
Metzger's Dog,Thomas Perry; Carl Hiaasen,9.78081E+12,Random House Trade,Unknown,336 pages,6.56 x 7.96 x 0.72 inches
Montana Bride (Bitter Creek),Joan Johnston,9.78035E+12,Dell,Unknown,,
City of Blades (The Divine Cities),Robert Jackson Bennett,9.78055E+12,Broadway Books,Unknown,,
Lost Legacy (A Zoe Chambers Mystery) (Volume 2),Annette Dashofy,9.78194E+12,Henery Press,Unknown,,
Dunkirk,Christopher Nolan,9.78057E+12,Faber & Faber,Unknown,,
Flying Saucers and Science: A Scientist Investigates the Mysteries of UFOs,Stanton T. Friedman Msc,9.78144E+12,ReadHowYouWant,Unknown,494 pages,7.01 x 10.00 x 0.99 inches
MacMillan Science 2,David Glover,9.78023E+12,Macmillan _,Unknown,,
Science-Fiction and Fantasy Stories from the Sun,Edward Page Mitchell,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Daughter of the Burning City,Amanda Foody,9.78037E+12,Harlequin Teen,Unknown,,
Renegade,Cambria M Hebert,9.78194E+12,Cambria Hebert,Unknown,376 pages,5.98 x 9.02 x 0.83 inches
Prayer in the Catholic Tradition b,yer in the Catholic Tradition by,9.78163E+12,Franciscan Media,Unknown,,
A Long Road Back,Darrell Maloney,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Whatever Happened to the Caped Crusader?,Neil Gaiman; Andy Kubert,9.7814E+12,DC Comics,Unknown,128 pages,6.60 x 10.16 x 0.18 inches
Emma,Jane Austen; Steven Marcus; Victoria Blake,9.78159E+12,Barnes & Noble,Unknown,451 pages,5.18 x 8.01 x 1.58 inches
Being Human,Terry Hayman,9.78146E+12,Createspace,Unknown,128 pages,7.99 x 5.24 x 0.27 inches
Black People in the Bible,Randolph Jackson,9.78149E+12,CreateSpace Independent Publishing Platform,Unknown,,
Switching on the Moon,G. Brian Karas; Jane Yolen; Andrew Fusek Peters,9.78076E+12,Candlewick Press (MA),Unknown,95 pages,10.36 x 11.38 x 0.67 inches
The Toudols Dollhouse,Janet; Stanley; Louis De Soto,9.78153E+12,CreateSpace Independent Publishing Platform,Unknown,,
A Lady Never Lies,Juliana Gray,9.78043E+12,Berkley,Unknown,320 pages,4.30 x 7.42 x 0.85 inches
Blood Will Out,W. W. Smith,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Back Packer Doctor,John Seymour,9.78144E+12,Authorhouse,Unknown,232 pages,6.00 x 9.00 x 0.53 inches
The Border Legion,Zane Grey,9.78152E+12,CreateSpace Independent Publishing Platform,Unknown,,
Northern Stars,Glenn; Hartwell; David G. Grant,9.78077E+12,Tor Books,Unknown,,
History Decoded,Keith Ferrell; Brad Meltzer,9.78076E+12,Workman Publishing,Unknown,160 pages,8.23 x 8.23 x 0.98 inches
Borne,Jeff VanderMeer,9.78037E+12,MCD,Unknown,,
Cross on Me,Arie Uittenbogaard,9.78146E+12,iUniverse.com,Unknown,400 pages,5.50 x 8.50 x 0.82 inches
Fire Touched (A Mercy Thompson Novel),Patricia Briggs,9.78043E+12,Ace,Unknown,,
Memento,Andrew Kania,9.78042E+12,Routledge,Unknown,191 pages,5.40 x 8.40 x 0.50 inches
Veniss Underground,Jeff Vandermeer,9.78055E+12,Spectra Books,Unknown,278 pages,5.22 x 8.16 x 0.63 inches
Tourist Season,Carl Hiaasen,9.7804E+12,Berkley,Unknown,,
A Ghostly Murder,Tonya Kappes,9.78006E+12,Witness,Unknown,,
Ants Among Elephants,Sujatha Gidla,9.78087E+12,Farrar Straus and Giroux,Unknown,,
