title,author,isbn,publisher,edition,pages,dimension
Earth's Survivors America The Dead Book Four (Volume 4),W. G. Sweet,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Double and the Gambler,Fyodor M. Dostoevsky; Richard Pevear; Larissa Volokhonsky,9.78E+12,Vintage Books USA,Unknown,336 pages,5.24 x 8.00 x 0.77 inches
Bart Simpson,Matt Groening,9.78E+12,Harper Design,Unknown,126 pages,6.70 x 10.13 x 0.30 inches
Black-Board Drawing,M. Swannell,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Fiona,Meredith Moore,9.78E+12,Razorbill,Unknown,,
My Vegan Travels,Jackie Kearney,9.78E+12,Ryland Peters & Small,Unknown,,
Baltimore Noir,Laura Lippman,9.78E+12,Akashic Books,Unknown,291 pages,5.32 x 8.30 x 0.92 inches
Crater Trueblood and the Lunar Rescue Company (A Helium-3 Novel),Homer Hickam,9.78E+12,Thomas Nelson,Unknown,,
Pocahontas,Grace Steele Woodward,9.78E+12,University of Oklahoma Press,Unknown,227 pages,5.43 x 8.30 x 0.69 inches
Defending Baltimore Against Enemy Attack,Charles Osgood,9.78E+12,Hyperion Books,Unknown,139 pages,5.30 x 8.08 x 0.41 inches
The Hunchback of Notre Dame,Victor Hugo; Isabel Roche,9.78E+12,Barnes & Noble Classics,Unknown,544 pages,
Exiles at Home,Shirley Elizabeth Thompson,9.78E+12,Harvard University Press,Unknown,362 pages,6.00 x 9.30 x 1.30 inches
Her Secret,Shelley Shepard Gray,9.78E+12,Avon Inspire,Unknown,,
Friends and Neighbours,Austin Steele,9.78E+12,Samuel French Ltd,Unknown,,
A History of the Franks,Gregory of Tours,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Bouncer,Kipling Peterson,9.78E+12,iUniverse.com,Unknown,308 pages,5.98 x 9.02 x 0.69 inches
A Pocket History of the 1916 Rising,Fiona Biggs; Fionnbarra O Duibhir Tara Gallagher,9.78E+12,Gill Books / Gill & Macmillan Ltd.,Unknown,,
Elmo's Potty Book,Tom Brannon,9.78E+12,Publications International,Unknown,18 pages,9.90 x 11.90 x 1.00 inches
Happy Birthday,1st Birthday Books in All Departments,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
An Age of Transition?,Christopher Dyer,9.78E+12,Oxford University Press USA,Unknown,300 pages,6.43 x 9.37 x 0.88 inches
Horse Soldiers,Doug Stanton,9.78E+12,Scribner Book Company,Unknown,393 pages,6.26 x 9.28 x 1.29 inches
Busy Days with Curious George,H. A. Rey,9.78E+12,HMH Books for Young Readers,Unknown,,
Half Life,Shelley Jackson,9.78E+12,Harper Perennial,Unknown,440 pages,5.34 x 8.02 x 1.05 inches
Flatbellies,Alan Hollingsworth,9.78E+12,W. W. Norton & Company,Unknown,341 pages,5.74 x 8.18 x 0.88 inches
The Storm of the Century: Tragedy Heroism Survival and the Epic True Story of America's Deadliest Natural Disaster,Al Roker,9.78E+12,William Morrow Paperbacks,Unknown,,
The Handy New York City Answer Book (Handy Answers),Chris Barsanti,9.78E+12,Visible Ink Press,Unknown,,
Unbelievable,Katy Tur,9.78E+12,Dey Street Books,Unknown,,
Applejack,Robert L. Bailey,9.78E+12,iUniverse,Unknown,248 pages,6.00 x 9.00 x 0.56 inches
Extreme Wakeboarding,Bobbie Kalman,9.78E+12,Crabtree Publishing Company,Unknown,32 pages,8.74 x 8.08 x 0.40 inches
Fordham A History of the Jesuit University of New York,Thomas J. Shelley,9.78E+12,Fordham University Press,Unknown,,
Tuxedo Gin,Tokihiko Matsuura,9.78E+12,Viz Media,Unknown,228 pages,5.32 x 7.50 x 0.80 inches
Social Work After the Americans with Disabilities ACT,John T. Pardeck,9.78E+12,Praeger,Unknown,152 pages,6.40 x 9.56 x 0.65 inches
Prohibition,John M. Dunn,9.78E+12,Lucent Books,Unknown,,7.00 x 9.10 x 0.50 inches
Black Storm Comin',Diane Lee Wilson,9.78E+12,Aladdin Paperbacks,Unknown,295 pages,5.32 x 9.36 x 0.86 inches
Going Postal,Terry Pratchett,9.78E+12,Harper,Unknown,,
Blacks in Colonial Veracruz,Patrick J. Carroll,9.78E+12,University of Texas Press,2,262 pages,6.14 x 9.02 x 0.59 inches
Cracking the AP Physics 2 Exam 2017 Edition,Princeton Review,9.78E+12,Princeton Review,Unknown,,
100 Inventions That Shaped World History: Companion To,William Yenne; Morton Gross; Morton Grosser,9.78E+12,Bluewood Books,Unknown,112 pages,6.02 x 8.98 x 0.29 inches
Jimmy's Blues and Other Poems,James Baldwin,9.78E+12,Beacon Press,Unknown,,
Biblical Preaching,Haddon W. Robinson,9.78E+12,Baker Academic,Unknown,,
A.C. Bradley on Shakespeare's Tragedies,A. C. Bradley; John Russell Brown,9.78E+12,Palgrave MacMillan,Unknown,208 pages,6.40 x 8.50 x 0.40 inches
A Concise History of World Population,Massimo Livi Bacci,9.78E+12,Wiley-Blackwell,5,271 pages,5.90 x 8.90 x 0.60 inches
A Curious Madness,Eric Jaffe,9.78E+12,Scribner,Unknown,,
Modern Philosophies of Human Nature,Peter E. Langford; P. Langford,9.79E+12,Martinus Nijhoff Publishers / Brill Academic,Unknown,272 pages,
Murder Must Advertise. A Detective Story.,Dorothy Leigh Sayers,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Battle of Hastings 1066. M.K. Lawson,M. K. Lawson,9.78E+12,Tempus,Unknown,,
Lies,Michael Grant,9.78E+12,Katherine Tegen Books,Unknown,447 pages,5.44 x 7.99 x 1.20 inches
Evertrue (Everneath),Brodi Ashton,9.78E+12,Balzer + Bray,Unknown,,
Cracking the AP Statistics Exam 2018 Edition,Princeton Review,9.78E+12,Princeton Review,Unknown,,
Black Reign,Edd McNair,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
My Life as a Wife,Elisabeth Luard,9.78E+12,Bloomsbury Publishing PLC,Unknown,336 pages,5.71 x 7.64 x 0.87 inches
Paddy Whacked,T. J. English,9.78E+12,ReganBooks,Unknown,468 pages,6.04 x 9.04 x 1.36 inches
Going to Meet the Man,James A. Baldwin,9.78E+12,Vintage Books USA,Unknown,256 pages,5.24 x 7.97 x 0.64 inches
The Oxford Handbook of Political Methodology,Janet M. Box-Steffensmeier; Henry E. Brady; David Collier,9.78E+12,Oxford University Press USA,Unknown,880 pages,6.70 x 9.60 x 1.90 inches
Ethics Love and Faith in Kierkegaard,Edward F. Mooney,9.78E+12,Indiana University Press,Unknown,291 pages,6.22 x 9.26 x 0.66 inches
The Forgotten Pollinators,Stephen L. Buchmann; Paul Mirocha; Gary Paul Nabhan,9.78E+12,Island Press,Unknown,312 pages,6.01 x 8.92 x 0.84 inches
The Shetland Bus,David Howarth,9.78E+12,Lyons Press,Unknown,236 pages,6.10 x 8.95 x 0.70 inches
Hearts and Crosses (Heart of the West) (Volume 1),O. Henry,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Water in the 21st-Century West,Char Miller,9.78E+12,Oregon State University Press,Unknown,312 pages,6.10 x 8.90 x 0.70 inches
Shots Fired in the Melting Pot,T. C. Clover,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Life Lessons from the Hiding Place,Pamela Rosewell Moore,9.78E+12,Chosen Books,Unknown,232 pages,5.46 x 8.48 x 0.58 inches
Black Fathers,Michael E. Connor; Joseph L. White,9.78E+12,Routledge,2,290 pages,6.00 x 8.90 x 0.70 inches
Dark Horse,Ralph Reed,9.78E+12,Howard Books,Unknown,435 pages,6.74 x 8.64 x 0.51 inches
The Knight in History,France Gies,9.78E+12,HarperCollins Publishers,Unknown,255 pages,
Sense and Sensibility,Jane Austen; Laura Engel,9.78E+12,Barnes & Noble Classics,Unknown,352 pages,5.30 x 7.96 x 0.97 inches
Tomorrow's Table,Pamela C. Ronald; Raoul W. Adamchak,9.78E+12,Oxford University Press USA,Unknown,208 pages,9.10 x 6.10 x 0.50 inches
The Complete Sherlock Holmes,Arthur Conan Doyle,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
An American Island,Timothy W. Dinneen,9.78E+12,Authorhouse,Unknown,228 pages,6.00 x 9.00 x 0.52 inches
Medieval Goldsmiths,John Cherry,9.78E+12,British Museum Press,Unknown,,
Guilty on All Counts,Gary Mercer,9.78E+12,Page Publishing Inc.,Unknown,234 pages,5.51 x 8.50 x 0.51 inches
Fed Up,Danielle DiMartino Booth,9.78E+12,Portfolio,Unknown,,
Destined (Wings),Aprilynne Pike,9.78E+12,HarperTeen,Unknown,,
Map of the New York World's Fair,Hagstrom Company,9.78E+12,Osprey Publishing,Unknown,1 pages,27.56 x 35.83 x 0.00 inches
Here Is Your War,Ernie Pyle; Carol Johnson; Orr Kelly,9.78E+12,University of Nebraska Press,Unknown,246 pages,6.08 x 9.07 x 0.54 inches
Barchester Towers,Anthony Trollope; Edward Mendelson; George Stade,9.78E+12,Barnes & Noble,Unknown,528 pages,5.20 x 8.00 x 1.60 inches
Gallipoli,Alan Moorehead,9.78E+12,Harper Perennial,Unknown,416 pages,5.28 x 8.10 x 1.03 inches
Hunting Hitler,Jerome R. Corsi PhD,9.78E+12,Skyhorse Publishing,Unknown,,
Dear Black People,Serene Content,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Antichrist (Barnes & Noble Library of Essential Reading),Friedrich Wilhelm Nietzsche; Anthony M. Ludovici; Dennis Sweet,9.78E+12,Barnes & Noble,Unknown,112 pages,
History of Maryland,Ethan Allen,9.79E+12,Book on Demand Ltd.,Unknown,234 pages,5.83 x 8.27 x 0.51 inches
My Commonplace Book,J. T. Hackett,9.78E+12,William Press,Unknown,464 pages,5.50 x 8.50 x 1.03 inches
A Step Behind,Robert Stone,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
History Pockets Ancient Civilizations,John Ed. Norris; Evan-Moor Educational Publishers,9.78E+12,Evan-Moor Educational Publishers,Unknown,96 pages,8.48 x 10.94 x 0.28 inches
Death in Summer,William Trevor,9.78E+12,Penguin Books,Unknown,214 pages,5.08 x 7.79 x 0.47 inches
The Pilgrim's Progress,John Bunyan; Cynthia Wall,9.78E+12,W. W. Norton & Company,Unknown,458 pages,5.50 x 9.10 x 0.60 inches
Isabella,Jennifer Fosberry,9.78E+12,Sourcebooks Inc,Unknown,240 pages,8.50 x 10.87 x 0.00 inches
Jersey Law,Ron Liebman,9.78E+12,Simon & Schuster,Unknown,,
I Hate Ny,Greg Vojtanek,9.78E+12,lulu.com,Unknown,,
Food Bites,AnnaKate Hartel; Richard W. Hartel,9.78E+12,Springer-Verlag New York Inc.,Unknown,200 pages,5.47 x 8.74 x 0.43 inches
JFK: An American Coup D'etat,Colonel John Hughes-Wilson,9.78E+12,John Blake,Unknown,,
BLACK PETALS.....My Life On Paper,Ms Chrissybee,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
McSweeney's Issue 32,Chris Adrian; Chris Bachelder; Anthony Doerr,9.78E+12,McSweeney's Books,Unknown,258 pages,7.24 x 9.26 x 1.08 inches
Eat for Heat,Matt Stone,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Bridal Chair,Gloria Goldreich,9.78E+12,Sourcebooks Landmark,Unknown,,
Trouble at the Wedding,Laura Lee Guhrke,9.78E+12,Avon Books,Unknown,384 pages,4.30 x 6.76 x 1.06 inches
Enlightenment Now,Steven Pinker,9.78E+12,Penguin Audio,Unknown,,
Happy 55th Birthday!,55th Birthday Party in All Departments,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Nature and Tendency of Modern Spiritualism,Mr. J. H. Waggoner,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Burlesque,Jane Briggman,9.78E+12,Bearmanor Media,Unknown,444 pages,9.01 x 5.98 x 0.89 inches
Cherokee Clans,Donald N. Panther-Yates,9.78E+12,Panther's Lodge,Unknown,,
18 and Life on Skid Row,Sebastian Bach,9.78E+12,Dey Street Books,Unknown,,
A Billionaire's Love Story Trilogy,J.M. Cagle,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Meat Racket,Christopher Leonard,9.78E+12,Simon & Schuster,Unknown,,
3 Theories of Everything,Ellis Potter,9.78E+12,Destinee Media,Unknown,122 pages,5.00 x 7.99 x 0.24 inches
Hard as Nails (Joe Kurtz),Dan Simmons,9.78E+12,Mulholland Books,Unknown,,
The Book of Ruth,Jane Hamilton,9.78E+12,Anchor Books,Unknown,336 pages,5.26 x 8.12 x 0.70 inches
Collected Stories of Guy de Maupassant (Barnes & Noble Classics Series),Guy de Maupassant; Richard Fusco,9.78E+12,Barnes & Noble Classics,Unknown,384 pages,
The Horse Keeper,A. R. Forte,9.78E+12,Troubador Publishing,Unknown,128 pages,5.00 x 7.80 x 0.00 inches
Paul McCartney,Hal Leonard Publishing Corporation,9.78E+12,Hal Leonard Publishing Corporation,Unknown,148 pages,5.95 x 9.00 x 0.39 inches
Only Yesterday,Frederick Lewis Allen,9.78E+12,Harper Perennial,Unknown,352 pages,5.30 x 7.90 x 0.90 inches
Dark Horse,Kenneth D. Ackerman,9.78E+12,Viral History Press LLC,Unknown,496 pages,5.98 x 9.02 x 1.11 inches
I Love New York City Rock Crossword Puzzle Book,Aaron Joy,9.78E+12,Lulu.com,Unknown,44 pages,8.27 x 11.02 x 0.08 inches
Eden,Jeanne McWilliams Blasberg,9.78E+12,She Writes Press,Unknown,,
Austin and His Friends,Frederic H. Balfour,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Chewing Gum Candy Bars and Beer,James J. Cooke,9.78E+12,University of Missouri Press,Unknown,186 pages,6.62 x 9.26 x 0.76 inches
The Prophets of Israel,Leon J. Wood,9.78E+12,Baker Academic,Unknown,408 pages,6.10 x 9.04 x 1.02 inches
The Knight of Maison-Rouge,n; a,9.78E+12,Barnes and Noble,Unknown,,
Essays and Poems by Ralph Waldo Emerson (Barnes & Noble Classics Series),Ralph Waldo Emerson; Peter Norberg,9.78E+12,Barnes & Noble Classics,Unknown,560 pages,5.22 x 8.04 x 1.48 inches
Japan in World History,James L. Huffman,9.78E+12,Oxford University Press,Unknown,156 pages,6.00 x 9.10 x 0.50 inches
Mercury Rapids,Steven Johnson,9.78E+12,iUniverse.com,Unknown,152 pages,6.16 x 9.06 x 0.39 inches
History Notebook,Richard B. Foster,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
King Cnut & the Viking Conquest of England 1016,W. B. Bartlett,9.78E+12,Amberley Publishing,Unknown,,
As I Recall ...,Larry Steele,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
An Exclusive Love,Johanna Adorjan; Anthea Bell,9.78E+12,W. W. Norton & Company,Unknown,192 pages,5.40 x 8.10 x 0.50 inches
The Senator's Daughter,Robert L. Bailey,9.78E+12,Writers Club Press,Unknown,176 pages,6.00 x 9.00 x 0.41 inches
Development as a Human Right,Bard A. Andreassen; Stephen P. Marks,9.79E+12,Intersentia,2,405 pages,6.20 x 9.30 x 1.10 inches
Barbie Style (other),Mattel,9.78E+12,Assouline Publishing,Unknown,,
The Pilgrim's Progress from This World to That Which Is to Come. Delivered Under the Similitude of a Dream. by John Bunyan. the Text Divided Into Chap,John Bunyan,9.78E+12,University of Michigan Library,Unknown,488 pages,6.14 x 9.21 x 0.98 inches
Occasionally Heroic A.I.,David West,9.78E+12,David Cano,Unknown,,
Nebraska Folklore,Louise Pound; Roger Welsch,9.78E+12,Bison Books,Unknown,243 pages,5.40 x 8.00 x 0.56 inches
The Fight for Maglev,James Jordan; James Powell; Gordon Danby,9.78E+12,Createspace,Unknown,,5.98 x 9.02 x 0.89 inches
Black Dog,Maria Wolf,9.78E+12,AuthorHouse,Unknown,,
For the Love of the Ocean,Christine Lynn Lourenco,9.78E+12,ArchwayPublishing,Unknown,,
The Medium's Message,Catherine Harkness,9.78E+12,AuthorHouseUK,Unknown,,
The American Heritage Desk Dictionary Fifth Edition,American Heritage Dictionary,9.78E+12,Houghton Mifflin Harcourt (HMH),5,960 pages,
Hugs from Pearl,Paul Schmid,9.78E+12,HarperCollins,Unknown,40 pages,9.44 x 9.31 x 0.40 inches
Don't Mean Nuthin',Ron Lealos,9.78E+12,Skyhorse Publishing,Unknown,,
