title,author,isbn,publisher,edition,pages,dimensions
High Places : Cultural Geographics of Mountains Ice and Science,Denis Cosgrove,9.78185E+12,I. B.Tauris & Company Limited,,256,6.10(w) x 9.10(h) x 0.90(d)
Conversations with God: An Uncommon Dialogue Book 1,Neale Donald Walsch,9.7804E+12,Penguin Publishing Group,,240,5.88(w) x 8.56(h) x 0.90(d)
Science Fiction and the Two Cultures: Essays on Bridging the Gap Between the Sciences and the Humanities,Gary Westfahl,9.78079E+12,McFarland & Company Incorporated Publishers,,290,5.90(w) x 8.90(h) x 0.90(d)
Ursula K. Le Guin Beyond Genre: Fiction for Children and Adults,Mike Cadden,9.78042E+12,Taylor & Francis,,224,6.00(w) x 9.00(h) x 0.70(d)
Star Trek: That Which Divides,Dayton Ward,9.7815E+12,Pocket Books/Star Trek,,400,7.80(w) x 4.90(h) x 1.30(d)
The Blessing,Jude Deveraux,9.78067E+12,Pocket Star,,336,4.18(w) x 6.75(h) x 0.60(d)
Jules Verne's Early Novels 1864-70 Unabridged a Journey to the Center of the Earth from the Earth to the Moon Round the Moon the English at the N,Jules Verne,9.78178E+12,Benediction Books,,1112,6.69(w) x 9.61(h) x 2.25(d)
Creation,Katherine Govier,9.78159E+12,The Overlook Press,,320,5.63(w) x 8.27(h) x 1.12(d)
All the New Tomorrows: 5 Science Fiction Stories,Rebecca M. Senese,9.78193E+12,RFAR Publishing,,138,5.25(w) x 8.00(h) x 0.32(d)
The Territory (Josie Gray Mysteries Series #1),Tricia Fields,9.78125E+12,St. Martin's Press,,288,5.40(w) x 8.10(h) x 0.50(d)
A Journey to the Center of the Earth: Campfire Graphic Novel,Jules Verne;  Vinod Kumar,9.78938E+12,Steerforth Press,,72,7.58(w) x 3.36(h) x 0.15(d)
Michael Foreman's Peter Pan and Wendy,J. M. Barrie;  Michael Foreman,9.78184E+12,Pavilion Books Limited,,160,9.50(w) x 11.90(h) x 0.70(d)
Coming Between Blood: The Other Brother (Second Edition),Queen Jewels,9.78152E+12,CreateSpace Publishing,,112,6.00(w) x 9.00(h) x 0.23(d)
Copernicus: The Astronomer Who Stopped the Sun,Edward S. Holden,9.78153E+12,CreateSpace Publishing,,104,5.25(w) x 8.00(h) x 0.22(d)
Math Grade 3-Workbook,School Zone Publishing;  Barbara Gregorich;  Lorie DeYoung;  Chris Cook,9.78094E+12,School Zone Publishing Company,,32,8.48(w) x 10.82(h) x 0.12(d)
Devine P.I.,James Carroll,9.78145E+12,AuthorHouse,,48,5.00(w) x 8.00(h) x 0.12(d)
Archaeology: The Science of the Human Past / Edition 4,Mark Sutton,9.78021E+12,Taylor & Francis,New Edition,430,7.90(w) x 9.90(h) x 0.70(d)
Fleabag (TV tie-in edition),Phoebe Waller-Bridge,9.78185E+12,Hern Nick Books,Second Edition,48,5.10(w) x 7.60(h) x 1.00(d)
Waking Beauty,Sarah E. Morin,9.78162E+12,Gilead Publishing,,467,6.00(w) x 8.90(h) x 1.40(d)
Black Fallen (Dark Ink Chronicles Series #4),Elle Jasper,9.78045E+12,Penguin Publishing Group,,336,6.60(w) x 4.10(h) x 1.20(d)
The Golem: What You Should Know About Science / Edition 2,Harry M. Collins;  Trevor Pinch,9.78111E+12,Cambridge University Press,Second edition,212,5.40(w) x 8.50(h) x 0.50(d)
The History of Science Fiction,Adam Roberts,9.78114E+12,Palgrave Macmillan UK,2nd ed. 2016,524,6.10(w) x 9.25(h) x (d)
Peter Pan And Wendy,J. M. Barrie,9.78198E+12,CreateSpace Publishing,,130,6.00(w) x 1.25(h) x 9.00(d)
Diamond Dogs Turquoise Days (Revelation Space Series #6),Alastair Reynolds,9.78044E+12,Penguin Publishing Group,Reprint,304,4.20(w) x 6.70(h) x 0.80(d)
Misbegotten Missionary,Isaac Asimov,9.78152E+12,Wilder Publications,,24,6.00(w) x 9.00(h) x 0.06(d)
The Sandman Volume 2: The Doll's House (New Edition): New Edition,Neil Gaiman;  Mike Dringenberg;  Malcolm Jones,9.7814E+12,DC Comics,New Edition,232,6.60(w) x 10.10(h) x 0.40(d)
