title,author,isbn,publisher,edition,pages,dimensions
Black Letter Outline on Partnership Taxation,Stephen Schwarz;  Daniel Lathrope;  Brant Hellwig,9.78E+12,West Academic Publishing,New Edition,283,8.40(w) x 10.80(h) x 2.10(d)
Let's Get It On!: The Making of MMA and Its Ultimate Referee,Big John McCarthy,9.78E+12,Medallion Media Group,,480,6.20(w) x 9.10(h) x 1.50(d)
King Cnut and the Viking Conquest of England 1016,W. B. Bartlett,9.78E+12,Amberley Publishing,,336,6.14(w) x 9.21(h) x 1.30(d)
My Antonia (Barnes & Noble Classics Series),Willa Cather,9.78E+12,Barnes & Noble,,272,8.02(w) x 5.28(h) x 0.73(d)
American Idol: The Untold Story,Richard Rushfield,9.78E+12,Hachette Books,,288,6.40(w) x 9.40(h) x 1.10(d)
Christmas Spirit,Rebecca York,9.78E+12,Harlequin,Larger Print,288,4.00(w) x 6.60(h) x 1.00(d)
The Moonstone (Barnes & Noble Classics Series),Wilkie Collins,9.78E+12,Barnes & Noble,,544,7.94(w) x 5.30(h) x 1.38(d)
School Reading by Grades Sixth Year,James Baldwin,9.78E+12,CreateSpace Publishing,,64,6.00(w) x 9.00(h) x 0.13(d)
A Global History of the Developing World,Christopher M. White,9.78E+12,Taylor & Francis,New Edition,320,6.10(w) x 9.10(h) x 0.70(d)
Lincoln's Final Hours: Conspiracy Terror and the Assassination of America's Greatest President,Kathryn Canavan,9.78E+12,University Press of Kentucky,,248,6.10(w) x 9.10(h) x 1.00(d)
Billy D. an American Hero,Mark D. Kasper,9.78E+12,HIS Publishing Group,,188,6.00(w) x 9.00(h) x 0.40(d)
Blank Slate,Tiffany Snow,9.78E+12,Amazon Publishing,Reprint,372,5.50(w) x 8.20(h) x 0.90(d)
George Lucas.: The Little Black Book,S. C. Hollister,9.78E+12,CreateSpace Publishing,,54,5.00(w) x 8.00(h) x 0.13(d)
Love in the Land of Make Believe: My Life with a Narcissist,Marita Kupfer,9.78E+12,CreateSpace Publishing,,68,5.25(w) x 8.00(h) x 0.14(d)
Death by Rodrigo,Ron Liebman,9.78E+12,Simon & Schuster,,288,6.12(w) x 9.25(h) x 1.00(d)
Anti-Intellectualism in American Life,Richard Hofstadter,9.78E+12,Knopf Doubleday Publishing Group,,464,5.20(w) x 8.00(h) x 0.90(d)
Redeeming Democracy in America,Wilson Carey McWilliams,9.78E+12,University Press of Kansas,New Edition,344,6.50(w) x 9.50(h) x 1.20(d)
Civil Rights and Social Wrongs: Black-White Relations Since World War II / Edition 1,John Higham,9.78E+12,Penn State University Press,New Edition,232,6.00(w) x 9.00(h) x 0.69(d)
Darwin's Blade,Dan Simmons,9.78E+12,Little Brown and Company,,439,5.30(w) x 8.20(h) x 1.30(d)
Funny Letters from Famous People,Charles Osgood,9.78E+12,Crown/Archetype,Reprint,240,5.49(w) x 8.50(h) x 0.50(d)
Dinosaurios (Spanish edition),ABDO Publishing Company,9.78E+12,ABDO Publishing Company,Spanish-language Edition,24,9.30(w) x 11.40(h) x 1.70(d)
No Name in the Street,James Baldwin,9.78E+12,Knopf Doubleday Publishing Group,Reprint,208,5.18(w) x 7.99(h) x 0.56(d)
Fingerprints Bite Marks Ear Prints,Angela Libal,9.78E+12,Mason Crest an Imprint of National Highlight,,112,7.50(w) x 9.70(h) x 0.40(d)
From Persecution to Service: The Chaplain Gary Cohen Story.,Gary Cohen,9.78E+12,Nelson Thomas Inc.,,340,5.50(w) x 8.50(h) x 0.76(d)
For the Good of Mankind?: The Shameful History of Human Medical Experimentation,Vicki Oransky Wittenstein,9.78E+12,Lerner Publishing Group,,96,6.90(w) x 10.00(h) x 0.50(d)
Heartbreak House,George Bernard Shaw,9.78E+12,CreateSpace Publishing,,60,8.50(w) x 11.00(h) x 0.12(d)
The History and Lives of Notorious Pirates and Their Crews,Captain Charles Johnson,9.78E+12,Skyhorse Publishing,,144,4.90(w) x 7.90(h) x 0.80(d)
Belle Epoque,Pepin Van Roojen,9.79E+12,Pepin Press,,16,9.80(w) x 13.50(h) x 0.20(d)
Black Newspapers and America's War for Democracy 1914-1920 / Edition 1,William G. Jordan,9.78E+12,The University of North Carolina Press,1,256,5.70(w) x 9.20(h) x 0.40(d)
A Review Of The Most Correct Book On Earth,Claude Heater,9.78E+12,Xulon Press,,380,0.78(w) x 8.25(h) x 11.00(d)
Indian Ocean in World History,Edward A. Alpers,2.90E+12,Oxford University Press,New Edition,192,6.00(w) x 1.25(h) x 9.00(d)
"My Beaches: 6"" x 9"" Left-Handed Sketch Book (50 count)",Richard B. Foster;  R.J. Foster;  B.F. Starling,9.78E+12,CreateSpace Publishing,,104,6.00(w) x 1.25(h) x 9.00(d)
Short History Of The Art Of Distillation,R.J. Forbes,9.78E+12,White Mule Press,,414,6.00(w) x 9.00(h) x 1.06(d)
3 Lives / Edition 1,Gertrude Stein,2.90E+12,Knopf Doubleday Publishing Group,New Edition,288,6.00(w) x 1.25(h) x 9.00(d)
El circulo,Dave Eggers,9.78E+12,PRH Grupo Editorial,Spanish-language Edition,472,5.30(w) x 8.60(h) x 1.30(d)
Black Letter Issues In Evidence Law: Federal Character Evidence: Ivy Black letter law books Author of 6 Published Bar Essays including Evidence LOOK INSIDE!,Ivy Black letter law books,9.78E+12,CreateSpace Publishing,,34,6.00(w) x 9.00(h) x 0.07(d)
Day-by-Day in NASCAR History,Ronald L. Meinstereifel,9.78E+12,McFarland & Company Incorporated Publishers,,319,6.00(w) x 9.00(h) x 0.64(d)
Man of the Hour: Night of Love / Secret Agent Man,Diana Palmer,9.78E+12,Harlequin,Original,368,5.10(w) x 7.90(h) x 1.10(d)
Las aventuras de huckleberry finn,Mark Twain,9.79E+12,Lectorum Publications Inc.,Spanish-language Edition,50,6.00(w) x 1.25(h) x 9.00(d)
Encyclopedia of American Journalism,Stephen L. Vaughn,9.78E+12,Taylor & Francis,,664,0.70(w) x 1.00(h) x 1.50(d)
Bertolt Brecht in America,James K. Lyon,9.78E+12,Princeton University Press,,424,7.00(w) x 10.00(h) x 0.90(d)
Blackest Night: Rise of the Black Lanterns,Various,9.78E+12,DC Comics,,256,9.92(w) x 6.66(h) x 0.36(d)
Life Is a Game,Dj Con,9.78E+12,iUniverse Incorporated,,436,5.50(w) x 8.50(h) x 0.89(d)
Eels,Derek Zobel,9.78E+12,Bellwether Media,,24,6.50(w) x 9.00(h) x (d)
About Chekov: The Unfinished Symphony,Ivan Bunin,9.78E+12,Northwestern University Press,1,280,6.13(w) x 9.25(h) x 0.60(d)
The Readers of Broken Wheel Recommend,Katarina Bivald,9.78E+12,Sourcebooks,,400,5.50(w) x 8.20(h) x 1.20(d)
The Foundation for Success-Love: Volume 1,Jerome Spriggs,9.78E+12,AuthorHouse,,124,6.00(w) x 9.00(h) x 0.29(d)
Voice of America: Stories,E.C. Osondu,2.90E+12,HarperCollins Publishers,Reprint,224,6.00(w) x 1.25(h) x 9.00(d)
Dogs on Duty: Soldiers' Best Friends on the Battlefield and Beyond,Dorothy Hinshaw Patent,9.78E+12,Bloomsbury USA,Reprint,48,9.40(w) x 10.50(h) x 0.20(d)
"A Study Guide for August Wilson's ""Ma Rainey's Black Bottom""",Cengage Learning Gale,9.78E+12,BiblioLabs LLC,,38,6.00(w) x 1.25(h) x 9.00(d)
Forest Born,Shannon Hale,9.78E+12,Bloomsbury USA,,400,5.10(w) x 7.70(h) x 1.10(d)
Crocodile,Dan Wylie,9.78E+12,Reaktion Books Limited,,224,5.40(w) x 7.40(h) x 0.60(d)
Covert Warriors (Presidential Agent Series #7),W. E. B. Griffin;  William E. Butterworth,9.78E+12,Penguin Publishing Group,,464,4.20(w) x 7.40(h) x 1.10(d)
Freedom Just Around the Corner: A New American History: 1585-1828,Walter A. McDougall,9.78E+12,HarperCollins Publishers,Reprint,656,5.31(w) x 8.00(h) x 1.05(d)
Humorous American Short Stories: Selections from Mark Twain to Others Much More Recent,Bob Blaisdell,9.78E+12,Dover Publications,,256,5.00(w) x 7.90(h) x 1.80(d)
French-English Dictionary for Chemists,Austin M. Patterson,9.78E+12,Ross & Perry Incorporated,,404,5.14(w) x 7.90(h) x 1.03(d)
Simpsons Comics Strike Back,Matt Groening,9.78E+12,HarperCollins Publishers,1 ED,128,6.68(w) x 10.21(h) x 0.34(d)
A Cultural History of the Senses in the Age of Enlightenment,Anne C. Vila,9.78E+12,Bloomsbury Academic,Reprint,288,6.90(w) x 9.90(h) x 1.00(d)
Vodník,Bryce Moore,9.78E+12,Lee & Low Books Inc.,,368,6.10(w) x 9.10(h) x 1.40(d)
Conversations with Lincoln: Little-Known Stories from Those Who Met America's 16th President,Gordon Leidner,9.78E+12,Sourcebooks,,208,5.10(w) x 7.10(h) x 0.80(d)
Modern American Military History / Edition 1,Robert F Ritchie Iv;  Robert F,9.78E+12,Kendall/Hunt Publishing Company,New Edition,,(w) x (h) x 0.77(d)
Sherlock Holmes: Selected Stories,Arthur Conan Doyle;  Barry McCrea,9.78E+12,Oxford University Press,Second Edition,400,5.10(w) x 7.60(h) x 0.80(d)
The Gamification of Work: The Use of Games in the Workplace,Emmanuelle Savignac,9.78E+12,Wiley,,198,6.40(w) x 9.10(h) x 0.80(d)
Carrying Albert Home: The Somewhat True Story of a Man His Wife and Her Alligator,Homer Hickam,9.78E+12,HarperCollins Publishers,Reprint,432,0.00(w) x 0.00(h) x (d)
A Bewitching Bride,Elizabeth Thornton,9.78E+12,Penguin Publishing Group,,320,4.10(w) x 6.70(h) x 0.80(d)
A Brief History of American Culture / Edition 1,Robert M. Crunden,9.78E+12,Taylor & Francis,New Edition,384,6.00(w) x 9.00(h) x 0.80(d)
Encounters,Richard Austin,9.78E+12,Thou Art That Publishing,,112,8.50(w) x 8.50(h) x 0.29(d)
The All-True Travels and Adventures of Lidie Newton,Jane Smiley,9.78E+12,Random House Publishing Group,,452,5.15(w) x 7.98(h) x 1.03(d)
A Fairy Extraordinary Christmas Story,A J York;  Gavin Childs,9.78E+12,CreateSpace Publishing,,36,5.50(w) x 8.50(h) x 0.09(d)
Faith or Reason: Can Science Silence God?,Sam Oputa,9.78E+12,Outskirts Press Inc.,,202,6.00(w) x 9.00(h) x 0.43(d)
JustCoding's Emergency Department Coding Handbook (Pack of 5),Nena Scott,9.78E+12,HCPro Inc,,60,6.00(w) x 9.10(h) x 0.90(d)
Timothy Pickering and the American Republic,Gerard H. Clarfield,9.78E+12,University of Pittsburgh Press,1,328,6.00(w) x 9.00(h) x 0.90(d)
A Few Words in the Mother Tongue: Poems Selected and New (1971-1990),Irena Klepfisz,9.78E+12,The Eighth Mountain Press,1st ed,256,6.00(w) x 9.00(h) x 0.70(d)
In My Youth (Yesterday's Classics),James Baldwin (2),9.78E+12,Yesterday's Classics,,568,1.27(w) x 9.00(h) x 6.00(d)
No Turning Back: Stories,Dan Burns,9.78E+12,Chicago Arts Press,,280,
The Hidden History of East Tennessee,Joe Guy,9.78E+12,History Press The,,128,5.90(w) x 9.10(h) x 0.50(d)
Roget's Illusion,Linda Bierds,9.78E+12,Penguin Publishing Group,,112,5.60(w) x 8.30(h) x 0.70(d)
The House of the Dead and Poor Folk (Barnes & Noble Classics Series),Fyodor Dostoevsky,9.78E+12,Barnes & Noble,,480,5.18(w) x 8.00(h) x 1.20(d)
Black as Night,Billy Wells,9.78E+12,CreateSpace Publishing,,258,6.00(w) x 9.00(h) x 0.58(d)
Accused: British Witches throughout History,Willow Winsham,9.78E+12,Pen & Sword Books Limited,,,6.40(w) x 9.30(h) x 0.90(d)
Feast of Excess: A Cultural History of the New Sensibility,George Cotkin,9.78E+12,Oxford University Press,,448,6.30(w) x 9.10(h) x 1.50(d)
The Mafia: A Cultural History,Roberto Dainotto,9.78E+12,Reaktion Books Limited,,224,5.60(w) x 8.60(h) x 1.10(d)
Blood On The Sea: American Destroyers Lost In World War II,Robert Sinclair Parkin,9.78E+12,Da Capo Press,,408,6.10(w) x 9.02(h) x 1.08(d)
The Best American Science and Nature Writing 2003,Richard Dawkins,9.78E+12,Houghton Mifflin Harcourt,,354,5.50(w) x 8.25(h) x 0.87(d)
Life in Colonial America,Peter F. Copeland,9.78E+12,Dover Publications,COLORING,48,8.22(w) x 10.88(h) x 0.15(d)
Mystery of the Black Madonna,Ms Christine Irving,9.78E+12,CreateSpace Publishing,,176,5.25(w) x 8.00(h) x 0.38(d)
Disciples of Death,Paul Howard,9.78E+12,Black Opal Books,,298,5.25(w) x 8.00(h) x 0.62(d)
Moruroa Blues,Lynn Pistoll,9.78E+12,Sheridan House Incorporated,,208,4.80(w) x 7.56(h) x 0.64(d)
Black Clover Vol. 5,Yuki Tabata,9.78E+12,VIZ Media LLC,,192,4.90(w) x 7.40(h) x 0.80(d)
Entwined,Lacey Black,9.78E+12,CreateSpace Publishing,,332,6.00(w) x 9.00(h) x 0.69(d)
American Sniper (Movie Tie-in Edition): The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle;  Scott McEwen;  Jim DeFelice,9.78E+12,HarperCollins Publishers,,416,5.20(w) x 7.90(h) x 1.40(d)
Introduction to Logic (Barnes & Noble Library of Essential Reading),Immanuel Kant,9.78E+12,Barnes & Noble,,128,5.32(w) x 8.20(h) x 0.32(d)
The Last Days of Dogtown,Anita Diamant,9.78E+12,Scribner,Reprint,288,5.20(w) x 7.90(h) x 0.70(d)
Micro Mechatronics: Science and Technology,Eve Versuh,9.78E+12,M L Books International Pvt Ltd,,368,6.00(w) x 9.00(h) x 0.81(d)
Legacy of Honor: The Values and Influence of America's Eagle Scouts,Alvin Townley,9.78E+12,St. Martin's Press,First Edition,320,6.12(w) x 9.14(h) x 0.84(d)
Ghosty Men: The Strange but True Story of the Collyer Brothers New York's Greatest Hoarders: An Urban Historical,Franz Lidz,9.78E+12,Bloomsbury USA,,176,5.83(w) x 7.31(h) x 0.77(d)
The Dish on Food and Farming in Colonial America,Anika Fajardo,9.78E+12,Capstone Press,,32,7.30(w) x 8.50(h) x 0.10(d)
Black Hawk and the Warrior's Path,Roger L. Nichols,9.78E+12,Wiley,New Edition,200,5.50(w) x 8.50(h) x 0.40(d)
Gurus on Leadership: A Guide to the World's Thought Leaders in Leadership,Mark Thomas,9.78E+12,Thorogood,,176,6.25(w) x 9.25(h) x 0.60(d)
Super Saint Bernards,Mary Elizabeth Salzmann;  Bob Doucet,9.78E+12,ABDO Publishing Company,,24,9.25(w) x 7.50(h) x (d)
The Baseball Maniac's Almanac: The Absolutely Positively and without Question Greatest Book of Facts Figures and Astonishing Lists Ever Compiled,Bert Randolph Sugar,9.78E+12,Sports Publishing LLC,Fourth Edition,428,6.00(w) x 8.80(h) x 1.40(d)
Book Fair and Foul (Ashton Corners Book Club Series #4),Erika Chase,9.78E+12,Penguin Publishing Group,,304,4.10(w) x 6.70(h) x 0.90(d)
Under the Sidewalks of New York: The Story of the Greatest Subway System in the World / Edition 2,Brian J. Cudahy;  Fordham University Press,9.78E+12,Fordham University Press,,194,8.00(w) x 10.00(h) x (d)
City Dreams Country Schemes: Community and Identity in the American West,Kathleen A. Brosnan,9.78E+12,University of Nevada Press,1,325,5.90(w) x 8.40(h) x 1.00(d)
The Bad Book Affair (Mobile Library Series #4),Ian  Sansom,9.78E+12,HarperCollins Publishers,,348,5.20(w) x 7.90(h) x 1.00(d)
Essays and Poems by Ralph Waldo Emerson (Barnes & Noble Classics Series),Ralph Waldo Emerson,9.78E+12,Barnes & Noble,,560,5.18(w) x 8.00(h) x 1.40(d)
Bent Not Broken,Jenika Snow;  Sam Crescent,9.78E+12,CreateSpace Publishing,,142,5.00(w) x 8.00(h) x 0.30(d)
American Image: U. S. Posters from the 19th to the 21st Century,Mark Resnick; Other Format,9.78E+12,RIT Cary Graphic Arts,,112,
Hannibal,Joel Newsome,9.78E+12,Cavendish Square,,128,6.50(w) x 1.50(h) x 9.50(d)
Grandmasters of Chess,Harold C. Schonberg,9.78E+12,Ishi Press,,320,6.00(w) x 9.00(h) x 0.72(d)
BLACK PETALS.....My Life On Paper,Ms Chrissybee,9.78E+12,CreateSpace Publishing,,30,8.50(w) x 11.02(h) x 0.06(d)
Evernote - Mein Life-Management-Tool: Wie ich mit Evernote mein Leben organisiere!,Thomas Mangold,9.78E+12,CreateSpace Publishing,,94,5.50(w) x 8.50(h) x 0.19(d)
The Elves of Cintra (Genesis of Shannara Series #2),Terry Brooks,9.78E+12,Random House Publishing Group,Reprint,464,4.16(w) x 6.86(h) x 1.05(d)
A History of Irish Music,Larry Kirwan,9.78E+12,Black Forty-Seven Inc.,,358,8.30(w) x 5.40(h) x 0.90(d)
African Americans and Colonial Legislation in the Middle Colonies,Oscar Williams,9.78E+12,Taylor & Francis,Reprint,200,5.50(w) x 8.50(h) x 0.40(d)
The Lost City of Machu Picchu (US),Rob Waring,9.78E+12,Cengage Learning,,24,5.50(w) x 8.10(h) x 0.30(d)
History Pockets Ancient Rome Grades 4-6+,Evan-Moor Educational Publishers,9.78E+12,Evan-Moor Educational Publishers,,96,8.30(w) x 10.70(h) x 0.30(d)
American Frontier and Western Issues: An Historiographical Review,Roger L. Nichols,9.78E+12,ABC-CLIO Incorporated,New Edition,312,6.14(w) x 9.21(h) x 0.75(d)
Great Negro Plot: A Tale of Conspiracy and Murder in Eighteenth-Century New York,Mat Johnson,9.78E+12,Bloomsbury USA,First Edition,208,5.29(w) x 8.15(h) x 0.85(d)
Faith,Don Rauf,9.78E+12,Mason Crest Publishers,,48,6.50(w) x 1.50(h) x 9.50(d)
Gianna: A Love Story,Mary Jo Holmes,9.78E+12,iUniverse Incorporated,,268,5.00(w) x 8.00(h) x 0.61(d)
Father Forgive Us We Haven't Been Listening,David Jenkins,9.78E+12,Xulon Press,,274,6.00(w) x 9.00(h) x 0.58(d)
The Letters of Robert Louis Stevenson,Robert Louis Stevenson,9.78E+12,CreateSpace Publishing,,388,6.00(w) x 1.25(h) x 9.00(d)
The Pilgrim's Progress (Oxford World's Classics Series) / Edition 2,John Bunyan;  W. R. Owens,9.78E+12,Oxford University Press,Reissue,400,5.00(w) x 7.60(h) x 0.90(d)
At the Door of Memory Aubrey Rike: A Witness to History and the Assassination of President Kennedy,JFK Lancer Productions & Publications,9.78E+12,JFK Lancer Production,,196,6.00(w) x 9.00(h) x 0.56(d)
The Dark Horse (Walt Longmire Series #5),Craig Johnson,9.78E+12,Penguin Publishing Group,,368,5.00(w) x 7.70(h) x 0.70(d)
Cracking the AP U.S. Government & Politics Exam 2018 Premium Edition,Princeton Review,9.78E+12,Random House Children's Books,Premium,464,8.30(w) x 10.10(h) x 1.10(d)
A History of Birdwatching in 100 Objects,David Callahan,9.78E+12,Bloomsbury USA,,224,7.40(w) x 9.80(h) x 0.80(d)
The Bridgebusters: The True Story of the Catch-22 Bomb Wing,Thomas McKelvey Cleaver,9.78E+12,Regnery Publishing,,288,9.10(w) x 6.10(h) x 1.20(d)
Travels in the Interior of Africa Volume I,Mungo Park,9.78E+12,CreateSpace Publishing,,98,6.00(w) x 9.00(h) x 0.20(d)
Death in Summer,William Trevor,9.78E+12,Penguin Publishing Group,,240,6.08(w) x 7.67(h) x 0.53(d)
John Clare: A Literary Life,Richard Dutton;  R. Sales,9.78E+12,Palgrave Macmillan UK,2002,195,5.51(w) x 8.50(h) x (d)
Dawn's Early Light,Larry R. Haggard,9.78E+12,FWB Publications,,336,5.00(w) x 7.99(h) x 0.70(d)
The Meat Racket: The Secret Takeover of America's Food Business,Christopher Leonard,9.78E+12,Simon & Schuster,,384,8.90(w) x 6.00(h) x 1.00(d)
The Blockade,Jean Johnson,9.78E+12,Penguin Publishing Group,,352,4.10(w) x 6.70(h) x 1.10(d)
America under Attack: An Alternative History of World War Two,Jeff Kildow,9.78E+12,Kudu,,440,5.80(w) x 8.70(h) x 1.30(d)
All the Ways the World Can End by Ab,Sher,9.78E+12,Farrar Straus and Giroux,,320,5.90(w) x 8.30(h) x 1.20(d)
King Lear in Brooklyn,Michael Pennington,9.78E+12,Oberon Books,,256,6.30(w) x 9.20(h) x 1.30(d)
Alexander Hamilton: A Life,Willard Sterne Randall,9.78E+12,HarperCollins Publishers,Reprint,512,5.31(w) x 8.00(h) x 0.81(d)
Exploring Cultural History: Essays in Honour of Peter Burke,Melissa Calaresu,9.78E+12,Taylor & Francis,,394,6.14(w) x 9.20(h) x (d)
My Life in Middlemarch,Rebecca Mead,9.78E+12,Crown/Archetype,,320,5.20(w) x 8.00(h) x 0.60(d)
History of Technology Volume 9,Norman Smith,9.78E+12,Bloomsbury Academic,,224,6.14(w) x 9.21(h) x 0.56(d)
Nazi Fugitive: The True Story of a German on the Run,Eugen Dollmann,9.78E+12,Skyhorse Publishing,,216,5.60(w) x 8.30(h) x 1.00(d)
Always the First: The Story of Annie Mae Walker: Survival in an Uncivil World,Lynn Hawkins,9.78E+12,Taylor and Seale Publishing LLC,,262,5.98(w) x 9.02(h) x 0.55(d)
Doing a Literature Search: A Comprehensive Guide for the Social Sciences / Edition 1,Chris Hart,9.78E+12,SAGE Publications,New Edition,194,7.44(w) x 9.69(h) x (d)
"My City: 6"" x 9"" Left-Handed Sketch Book (50 count)",Richard B. Foster,9.78E+12,CreateSpace Publishing,,104,6.00(w) x 1.25(h) x 9.00(d)
Caleb's Wars,David L. Dudley,9.78E+12,Houghton Mifflin Harcourt,,272,5.80(w) x 8.30(h) x 1.00(d)
Fifty Years of the Texas Observer / Edition 1,Char Miller,9.78E+12,Trinity University Press,New Edition,423,6.00(w) x 9.00(h) x (d)
Book of Ages: The Life and Opinions of Jane Franklin,Jill Lepore,9.78E+12,Knopf Doubleday Publishing Group,,464,5.20(w) x 8.00(h) x 0.90(d)
Advances in Human Genetics 1: Volume 17,Harry Harris,9.78E+12,Springer US,Softcover reprint of the original 1st ed. 1988,230,5.98(w) x 9.02(h) x 0.02(d)
A Short History of Secularism,Graeme Smith,9.78E+12,I. B.Tauris & Company Limited,,240,5.50(w) x 8.75(h) x 0.81(d)
Red Army Armour in Combat,Bob Carruthers,9.78E+12,Pen & Sword Books Limited,Reprint,176,6.10(w) x 9.10(h) x 0.60(d)
12 Days of Christmas in New York,Michael Storrings,9.78E+12,Rizzoli,,24,7.33(w) x 7.27(h) x 0.36(d)
Louisa: The Extraordinary Life of Mrs. Adams,Louisa Thomas,9.78E+12,Penguin Publishing Group,,512,5.50(w) x 8.30(h) x 1.20(d)
Ernest Hemingway: A Biography,Mary V. Dearborn,9.78E+12,Knopf Doubleday Publishing Group,,752,6.50(w) x 9.50(h) x 1.50(d)
A Cultural History of Tattoos,Gail B. Stewart,9.78E+12,ReferencePoint Press Incorporated,,80,6.60(w) x 9.30(h) x 0.40(d)
Devils and Details,Devon Monk,9.78E+12,Odd House Press,,306,5.00(w) x 7.99(h) x 0.69(d)
Heroes and Heroics of the American Civil War,J. S. C. Abbott,9.78E+12,CreateSpace Publishing,,398,6.00(w) x 9.00(h) x 0.82(d)
Cry Wolf (Alpha and Omega Series #1),Patricia Briggs,9.78044E+12,Penguin Publishing Group,,320,4.10(w) x 6.70(h) x 1.10(d)
DK Braille: Animals,Dorling Kindersley Publishing Staff,9.78147E+12,DK,Large Print,32,8.60(w) x 10.70(h) x 0.90(d)
An American Marriage (Oprah's Book Club),Tayari Jones,9.78162E+12,Algonquin Books of Chapel Hill,,,5.90(w) x 9.10(h) x 1.30(d)
Big Stone Gap (Movie Tie-in Edition),Adriana Trigiani,9.7811E+12,Random House Publishing Group,Media Tie,320,7.90(w) x 5.10(h) x 0.80(d)
Death of a Double Dipper,Angela Pepper,9.78155E+12,CreateSpace Publishing,,390,5.00(w) x 8.00(h) x 0.80(d)
Immortal Blood,James M. Thompson,9.78152E+12,Random House,,322,5.50(w) x 8.50(h) x 0.72(d)
Verdict Unsafe,Jill McGown,9.78045E+12,Random House Publishing Group,Reprint,336,4.25(w) x 6.75(h) x 0.50(d)
Jacky Ha-Ha,James Patterson;  Chris Grabenstein;  Kerascoet,9.78032E+12,Little Brown and Company,Reprint,384,5.20(w) x 7.40(h) x 1.10(d)
Fantastic Beasts and Where to Find Them: The Illustrated Edition,J. K. Rowling;  Newt Scamander;  Olivia Lomenech Gill,9.78134E+12,Scholastic Inc.,,160,9.80(w) x 11.50(h) x 0.90(d)
Safari Survival,Jan Burchett;  Sara Vogler;  Diane Le Feyer,9.78143E+12,Capstone Press,,152,5.25(w) x 7.50(h) x 0.70(d)
Daniel Deronda (Barnes & Noble Classics Series),George Eliot,9.78159E+12,Barnes & Noble,,784,7.96(w) x 5.32(h) x 1.73(d)
Science Fiction and Market Realities,Gary Westfahl,9.78082E+12,University of Georgia Press,,232,6.00(w) x 9.00(h) x (d)
Divine Justice (Camel Club Series #4),David Baldacci,9.78045E+12,Grand Central Publishing,Reprint,560,4.18(w) x 7.54(h) x 1.20(d)
Science Fiction and Extro-Science Fiction,Quentin Meillassoux;  Isaac Asimov,9.78194E+12,University of Minnesota Press,,96,4.40(w) x 6.50(h) x 0.30(d)
Enchiridion: The Manual for Living [Barnes & Noble Library of Essential Reading],Epictetus,9.78076E+12,Barnes & Noble,,48,5.50(w) x 8.25(h) x (d)
C.M. Simpson: Short Work from 2015 & 2016 (Large Print): Science Fiction Fantasy and Steampunk,C. M. Simpson,9.78197E+12,CreateSpace Publishing,,588,6.00(w) x 1.25(h) x 9.00(d)
Call Me By Your Name,Andre Aciman,9.78031E+12,Picador,First Edition,256,5.53(w) x 8.23(h) x 0.71(d)
Commander Toad in Space,Jane Yolen;  Bruce Degen,9.7807E+12,Penguin Young Readers Group,Reprint,64,5.75(w) x 8.50(h) x 0.22(d)
Science Fiction Fantasies: Tales and Origins,MR Bill Eckel,9.78154E+12,CreateSpace Publishing,,174,5.98(w) x 9.02(h) x 0.37(d)
The Lone Star Ranger,Zane Grey,9.78198E+12,CreateSpace Publishing,,258,6.00(w) x 1.25(h) x 9.00(d)
It's P!,Mary Elizabeth Salzmann,9.7816E+12,ABDO Publishing Company,,24,9.40(w) x 7.60(h) x 0.10(d)
Last Man Standing,David Baldacci,9.78154E+12,Grand Central Publishing,Reissue,608,5.25(w) x 8.00(h) x 1.62(d)
Cross Currents,John Shors,9.78045E+12,Penguin Publishing Group,,352,5.40(w) x 8.10(h) x 0.80(d)
The Last of the Menu Girls: A Novel in Stories,Denise Chavez,9.7814E+12,Knopf Doubleday Publishing Group,Reprint,240,5.20(w) x 8.00(h) x 0.70(d)
Harbour Hill,Katie Flynn,9.7801E+12,Random House UK,,272,
How to Write Realistic Monsters Aliens and Fantasy Creatures: The Top Writer's Toolkit for Fantasy Horror and Science Fiction,Jackson Dean Chase,9.78154E+12,CreateSpace Publishing,,154,6.00(w) x 9.00(h) x 0.33(d)
Killer Transaction,Catherine Bruns,9.78152E+12,CreateSpace Publishing,,212,5.25(w) x 8.00(h) x 0.48(d)
Help Thanks Wow: The Three Essential Prayers,Anne Lamott,9.78159E+12,Penguin Publishing Group,,112,4.98(w) x 8.12(h) x 0.62(d)
Pride,Brian K. Vaughan,9.7816E+12,ABDO Publishing Company,,24,6.86(w) x 10.48(h) x 0.32(d)
Star Trek: Titan #5: Over a Torrent Sea,Christopher L. Bennett,9.78148E+12,Pocket Books/Star Trek,,368,5.00(w) x 8.00(h) x 1.00(d)
Sing a Season Song,Jane Yolen;  Lisel Ashlock,9.78157E+12,Creative Company The,,48,8.70(w) x 12.20(h) x 0.50(d)
Daughter of Ancients (Bridge of D'Arnath Series #4),Carol Berg,9.78045E+12,Penguin Publishing Group,,544,4.30(w) x 6.85(h) x 1.25(d)
The Curse of Silver Blood,Joseph Barresi,9.78145E+12,CreateSpace Publishing,,674,5.50(w) x 8.50(h) x 1.35(d)
Introduction to Logic (Barnes & Noble Library of Essential Reading),Immanuel Kant,9.78076E+12,Barnes & Noble,,128,5.32(w) x 8.20(h) x 0.32(d)
